,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 05:45:49.769332,,,,,,,,,
1,Simulation configuration ID,b93f20d9-48a2-4234-a810-a86057e047f2,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,49.0,household_agent_1,41.0,household_agent_0,0.0,0.0,41.0,49.0
1,,,1.0,65.0,household_agent_5,40.0,household_agent_0,0.0,0.0,40.0,65.0
2,,,2.0,20.0,household_agent_0,41.0,household_agent_1,0.0,0.0,41.0,20.0
3,,,3.0,20.0,household_agent_2,46.0,household_agent_1,0.0,0.0,46.0,20.0
4,,,4.0,18.0,household_agent_1,8.0,household_agent_2,0.0,0.0,8.0,18.0
5,,,5.0,68.0,household_agent_3,49.0,household_agent_2,0.0,0.0,49.0,68.0
6,,,6.0,18.0,household_agent_9,18.0,household_agent_2,0.0,0.0,18.0,18.0
7,,,7.0,39.0,household_agent_2,30.0,household_agent_3,0.0,0.0,30.0,39.0
8,,,8.0,37.0,household_agent_4,22.0,household_agent_3,0.0,0.0,22.0,37.0
9,,,9.0,64.0,household_agent_3,46.0,household_agent_4,0.0,0.0,46.0,64.0
10,,,10.0,93.0,household_agent_5,50.0,household_agent_4,0.0,0.0,50.0,93.0
11,,,11.0,96.0,household_agent_0,34.0,household_agent_5,0.0,0.0,34.0,96.0
12,,,12.0,69.0,household_agent_4,12.0,household_agent_5,0.0,0.0,12.0,69.0
13,,,13.0,29.0,household_agent_6,13.0,household_agent_5,0.0,0.0,13.0,29.0
14,,,14.0,98.0,household_agent_5,47.0,household_agent_6,0.0,0.0,47.0,98.0
15,,,15.0,67.0,household_agent_7,46.0,household_agent_6,0.0,0.0,46.0,67.0
16,,,16.0,30.0,household_agent_6,11.0,household_agent_7,0.0,0.0,11.0,30.0
17,,,17.0,15.0,household_agent_8,43.0,household_agent_7,0.0,0.0,43.0,15.0
18,,,18.0,50.0,household_agent_12,36.0,household_agent_7,0.0,0.0,36.0,50.0
19,,,19.0,88.0,household_agent_7,23.0,household_agent_8,0.0,0.0,23.0,88.0
20,,,20.0,89.0,household_agent_9,45.0,household_agent_8,0.0,0.0,45.0,89.0
21,,,21.0,99.0,household_agent_10,27.0,household_agent_8,0.0,0.0,27.0,99.0
22,,,22.0,53.0,household_agent_2,14.0,household_agent_9,0.0,0.0,14.0,53.0
23,,,23.0,70.0,household_agent_8,28.0,household_agent_9,0.0,0.0,28.0,70.0
24,,,24.0,73.0,household_agent_10,20.0,household_agent_9,0.0,0.0,20.0,73.0
25,,,25.0,49.0,household_agent_12,10.0,household_agent_9,0.0,0.0,10.0,49.0
26,,,26.0,43.0,household_agent_8,43.0,household_agent_10,0.0,0.0,43.0,43.0
27,,,27.0,53.0,household_agent_9,31.0,household_agent_10,0.0,0.0,31.0,53.0
28,,,28.0,102.0,household_agent_11,48.0,household_agent_10,0.0,0.0,48.0,102.0
29,,,29.0,13.0,household_agent_10,29.0,household_agent_11,0.0,0.0,29.0,13.0
30,,,30.0,35.0,household_agent_12,49.0,household_agent_11,0.0,0.0,49.0,35.0
31,,,31.0,53.0,household_agent_7,35.0,household_agent_12,0.0,0.0,35.0,53.0
32,,,32.0,42.0,household_agent_9,43.0,household_agent_12,0.0,0.0,43.0,42.0
33,,,33.0,31.0,household_agent_11,49.0,household_agent_12,0.0,0.0,49.0,31.0
