,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 23:46:35.707753,,,,,,,,,
1,Simulation configuration ID,3432ba50-fc0a-4c80-9aed-004f2b75d54b,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,7.0,aggregator_agent,1017.0,991.0,control_center_agent,1.0,536.0,8.0
1,,,0.0,7.0,aggregator_agent,1017.0,991.0,control_center_agent,2.0,455.0,9.0
2,,,1.0,33.0,household_agent_4,1004.0,991.0,aggregator_agent,2.0,536.0,35.0
3,,,1.0,33.0,household_agent_4,1004.0,991.0,aggregator_agent,3.0,455.0,36.0
4,,,69.0,2142.0,control_center_agent,1018.0,991.0,aggregator_agent,1.0,536.0,2143.0
5,,,69.0,2142.0,control_center_agent,1018.0,991.0,aggregator_agent,2.0,455.0,2144.0
6,,,18.0,286.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,287.0
7,,,18.0,286.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,288.0
8,,,50.0,956.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,957.0
9,,,50.0,956.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,958.0
10,,,14.0,286.0,household_agent_0,1000.0,991.0,household_agent_1,1.0,536.0,287.0
11,,,14.0,286.0,household_agent_0,1000.0,991.0,household_agent_1,2.0,455.0,288.0
12,,,15.0,286.0,household_agent_2,1002.0,991.0,household_agent_1,2.0,536.0,288.0
13,,,15.0,286.0,household_agent_2,1002.0,991.0,household_agent_1,6.0,455.0,292.0
14,,,46.0,956.0,household_agent_0,1000.0,991.0,household_agent_1,1.0,536.0,957.0
15,,,46.0,956.0,household_agent_0,1000.0,991.0,household_agent_1,2.0,455.0,958.0
16,,,47.0,956.0,household_agent_2,1002.0,991.0,household_agent_1,2.0,536.0,958.0
17,,,47.0,956.0,household_agent_2,1002.0,991.0,household_agent_1,6.0,455.0,962.0
18,,,10.0,286.0,household_agent_1,1001.0,991.0,household_agent_2,2.0,536.0,288.0
19,,,10.0,286.0,household_agent_1,1001.0,991.0,household_agent_2,5.0,455.0,291.0
20,,,11.0,286.0,household_agent_3,1003.0,991.0,household_agent_2,4.0,536.0,290.0
21,,,11.0,286.0,household_agent_3,1003.0,991.0,household_agent_2,7.0,455.0,293.0
22,,,42.0,956.0,household_agent_1,1001.0,991.0,household_agent_2,2.0,536.0,958.0
23,,,42.0,956.0,household_agent_1,1001.0,991.0,household_agent_2,5.0,455.0,961.0
24,,,43.0,956.0,household_agent_3,1003.0,991.0,household_agent_2,4.0,536.0,960.0
25,,,43.0,956.0,household_agent_3,1003.0,991.0,household_agent_2,7.0,455.0,963.0
26,,,6.0,286.0,household_agent_2,1002.0,991.0,household_agent_3,3.0,536.0,289.0
27,,,6.0,286.0,household_agent_2,1002.0,991.0,household_agent_3,7.0,455.0,293.0
28,,,7.0,286.0,household_agent_4,1004.0,991.0,household_agent_3,1.0,536.0,287.0
29,,,7.0,286.0,household_agent_4,1004.0,991.0,household_agent_3,2.0,455.0,288.0
30,,,38.0,956.0,household_agent_2,1002.0,991.0,household_agent_3,3.0,536.0,959.0
31,,,38.0,956.0,household_agent_2,1002.0,991.0,household_agent_3,7.0,455.0,963.0
32,,,39.0,956.0,household_agent_4,1004.0,991.0,household_agent_3,1.0,536.0,957.0
33,,,39.0,956.0,household_agent_4,1004.0,991.0,household_agent_3,2.0,455.0,958.0
34,,,2.0,438.0,household_agent_3,1003.0,991.0,household_agent_4,1.0,536.0,439.0
35,,,2.0,438.0,household_agent_3,1003.0,991.0,household_agent_4,2.0,455.0,440.0
36,,,3.0,438.0,household_agent_5,1005.0,991.0,household_agent_4,2.0,536.0,440.0
37,,,3.0,438.0,household_agent_5,1005.0,991.0,household_agent_4,4.0,455.0,442.0
38,,,4.0,286.0,household_agent_3,1003.0,991.0,household_agent_4,1.0,536.0,287.0
39,,,4.0,286.0,household_agent_3,1003.0,991.0,household_agent_4,2.0,455.0,288.0
40,,,5.0,286.0,household_agent_5,1005.0,991.0,household_agent_4,4.0,536.0,290.0
41,,,5.0,286.0,household_agent_5,1005.0,991.0,household_agent_4,8.0,455.0,294.0
42,,,36.0,956.0,household_agent_3,1003.0,991.0,household_agent_4,1.0,536.0,957.0
43,,,36.0,956.0,household_agent_3,1003.0,991.0,household_agent_4,2.0,455.0,958.0
44,,,37.0,956.0,household_agent_5,1005.0,991.0,household_agent_4,4.0,536.0,960.0
45,,,37.0,956.0,household_agent_5,1005.0,991.0,household_agent_4,8.0,455.0,964.0
46,,,68.0,1354.0,aggregator_agent,1017.0,991.0,household_agent_4,2.0,536.0,1356.0
47,,,68.0,1354.0,aggregator_agent,1017.0,991.0,household_agent_4,3.0,455.0,1357.0
48,,,8.0,286.0,household_agent_4,1004.0,991.0,household_agent_5,5.0,536.0,291.0
49,,,8.0,286.0,household_agent_4,1004.0,991.0,household_agent_5,8.0,455.0,294.0
50,,,9.0,286.0,household_agent_6,1006.0,991.0,household_agent_5,1.0,536.0,287.0
51,,,9.0,286.0,household_agent_6,1006.0,991.0,household_agent_5,2.0,455.0,288.0
52,,,40.0,956.0,household_agent_4,1004.0,991.0,household_agent_5,5.0,536.0,961.0
53,,,40.0,956.0,household_agent_4,1004.0,991.0,household_agent_5,8.0,455.0,964.0
54,,,41.0,956.0,household_agent_6,1006.0,991.0,household_agent_5,1.0,536.0,957.0
55,,,41.0,956.0,household_agent_6,1006.0,991.0,household_agent_5,2.0,455.0,958.0
56,,,12.0,286.0,household_agent_5,1005.0,991.0,household_agent_6,1.0,536.0,287.0
57,,,12.0,286.0,household_agent_5,1005.0,991.0,household_agent_6,2.0,455.0,288.0
58,,,13.0,286.0,household_agent_7,1007.0,991.0,household_agent_6,3.0,536.0,289.0
59,,,13.0,286.0,household_agent_7,1007.0,991.0,household_agent_6,6.0,455.0,292.0
60,,,44.0,956.0,household_agent_5,1005.0,991.0,household_agent_6,1.0,536.0,957.0
