,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 01:17:40.620505,,,,,,,,,
1,Simulation configuration ID,17474a46-6398-4075-bc45-2e1e5bf0466b,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,52.0,aggregator_agent,1017.0,991.0,control_center_agent,1.0,536.0,53.0
1,,,0.0,52.0,aggregator_agent,1017.0,991.0,control_center_agent,2.0,455.0,54.0
2,,,1.0,121.0,household_agent_5,1005.0,991.0,aggregator_agent,1.0,536.0,122.0
3,,,1.0,121.0,household_agent_5,1005.0,991.0,aggregator_agent,2.0,455.0,123.0
4,,,563.0,1680.0,control_center_agent,1018.0,991.0,aggregator_agent,1.0,536.0,1681.0
5,,,563.0,1680.0,control_center_agent,1018.0,991.0,aggregator_agent,2.0,455.0,1682.0
6,,,34.0,617.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,536.0,619.0
7,,,34.0,617.0,household_agent_1,1001.0,991.0,household_agent_0,9.0,455.0,626.0
8,,,35.0,617.0,household_agent_2,1002.0,991.0,household_agent_0,12.0,536.0,629.0
9,,,35.0,617.0,household_agent_2,1002.0,991.0,household_agent_0,49.0,455.0,666.0
10,,,36.0,617.0,household_agent_3,1003.0,991.0,household_agent_0,13.0,536.0,630.0
11,,,36.0,617.0,household_agent_3,1003.0,991.0,household_agent_0,55.0,455.0,672.0
12,,,37.0,617.0,household_agent_4,1004.0,991.0,household_agent_0,16.0,536.0,633.0
13,,,37.0,617.0,household_agent_4,1004.0,991.0,household_agent_0,57.0,455.0,674.0
14,,,38.0,617.0,household_agent_5,1005.0,991.0,household_agent_0,22.0,536.0,639.0
15,,,38.0,617.0,household_agent_5,1005.0,991.0,household_agent_0,52.0,455.0,669.0
16,,,39.0,617.0,household_agent_6,1006.0,991.0,household_agent_0,26.0,536.0,643.0
17,,,39.0,617.0,household_agent_6,1006.0,991.0,household_agent_0,56.0,455.0,673.0
18,,,40.0,617.0,household_agent_7,1007.0,991.0,household_agent_0,24.0,536.0,641.0
19,,,40.0,617.0,household_agent_7,1007.0,991.0,household_agent_0,60.0,455.0,677.0
20,,,41.0,617.0,household_agent_8,1008.0,991.0,household_agent_0,3.0,536.0,620.0
