,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 13:08:10.159778,,,,,,,,,
1,Simulation configuration ID,bce6b34a-3417-42a4-a724-f8a47527e4e4,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,86.0,aggregator_agent,16.0,market_agent,0.0,0.0,16.0,86.0
1,,,36.0,1800278.0,aggregator_agent,48.0,market_agent,0.0,0.0,48.0,1800278.0
2,,,1.0,150.0,household_agent_0,24.0,aggregator_agent,0.0,1.0,24.0,151.0
3,,,2.0,150.0,household_agent_1,16.0,aggregator_agent,0.0,1.0,16.0,151.0
4,,,3.0,150.0,household_agent_2,23.0,aggregator_agent,0.0,0.0,23.0,150.0
5,,,4.0,150.0,household_agent_3,34.0,aggregator_agent,0.0,1.0,34.0,151.0
6,,,5.0,150.0,household_agent_4,16.0,aggregator_agent,0.0,1.0,16.0,151.0
7,,,6.0,150.0,household_agent_5,41.0,aggregator_agent,0.0,1.0,41.0,151.0
8,,,7.0,150.0,household_agent_6,22.0,aggregator_agent,0.0,1.0,22.0,151.0
9,,,8.0,150.0,household_agent_7,44.0,aggregator_agent,0.0,1.0,44.0,151.0
10,,,9.0,150.0,household_agent_8,47.0,aggregator_agent,0.0,1.0,47.0,151.0
11,,,10.0,150.0,household_agent_9,34.0,aggregator_agent,0.0,1.0,34.0,151.0
12,,,11.0,150.0,household_agent_10,21.0,aggregator_agent,0.0,2.0,21.0,152.0
13,,,12.0,150.0,household_agent_11,19.0,aggregator_agent,0.0,2.0,19.0,152.0
14,,,13.0,150.0,household_agent_12,9.0,aggregator_agent,0.0,1.0,9.0,151.0
15,,,14.0,150.0,generation_agent_0,18.0,aggregator_agent,0.0,2.0,18.0,152.0
16,,,15.0,150.0,generation_agent_1,39.0,aggregator_agent,0.0,2.0,39.0,152.0
17,,,16.0,150.0,generation_agent_2,21.0,aggregator_agent,0.0,2.0,21.0,152.0
18,,,17.0,150.0,generation_agent_3,24.0,aggregator_agent,0.0,2.0,24.0,152.0
19,,,18.0,235.0,household_agent_0,25.0,aggregator_agent,0.0,1.0,25.0,236.0
20,,,19.0,235.0,household_agent_1,8.0,aggregator_agent,0.0,1.0,8.0,236.0
21,,,20.0,235.0,household_agent_2,50.0,aggregator_agent,0.0,0.0,50.0,235.0
22,,,21.0,235.0,household_agent_3,33.0,aggregator_agent,0.0,1.0,33.0,236.0
23,,,22.0,235.0,household_agent_4,35.0,aggregator_agent,0.0,1.0,35.0,236.0
24,,,23.0,235.0,household_agent_5,17.0,aggregator_agent,0.0,1.0,17.0,236.0
25,,,24.0,235.0,household_agent_6,24.0,aggregator_agent,0.0,1.0,24.0,236.0
