,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 06:17:13.068125,,,,,,,,,
1,Simulation configuration ID,4e71b4b9-1faa-44ae-a72b-791d15db6de9,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 22 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,32.0,household_agent_10,36.0,generation_agent_0,0.0,0.0,36.0,32.0
1,,,0.0,32.0,household_agent_10,36.0,generation_agent_0,0.0,0.0,38.0,54.0
2,,,1.0,32.0,generation_agent_1,49.0,generation_agent_0,0.0,0.0,49.0,32.0
3,,,1.0,32.0,generation_agent_1,49.0,generation_agent_0,0.0,0.0,13.0,54.0
4,,,2.0,32.0,generation_agent_2,17.0,generation_agent_0,0.0,0.0,17.0,32.0
5,,,101000.0,187.0,generation_agent_0,36.0,household_agent_10,32.0,0.0,36.0,187.0
6,,,101400.0,870.0,generation_agent_0,49.0,generation_agent_1,32.0,0.0,49.0,870.0
7,,,101500.0,767.0,generation_agent_0,17.0,generation_agent_2,32.0,0.0,17.0,767.0
8,,,101501.0,651.0,generation_agent_3,38.0,generation_agent_2,54.0,0.0,38.0,651.0
9,,,101700.0,931.0,generation_agent_3,13.0,aggregator_agent,54.0,0.0,13.0,931.0
