,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 08:34:26.152080,,,,,,,,,
1,Simulation configuration ID,5062c903-341d-42da-9515-9b5b96b3e718,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 17 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,41.0,household_agent_12,39.0,household_agent_7,0.0,0.0,39.0,41.0
1,,,1.0,41.0,household_agent_1,31.0,household_agent_7,0.0,0.0,31.0,41.0
2,,,1.0,41.0,household_agent_1,31.0,household_agent_7,0.0,0.0,24.0,59.0
3,,,2.0,41.0,household_agent_9,22.0,household_agent_7,0.0,0.0,22.0,41.0
4,,,2.0,41.0,household_agent_9,22.0,household_agent_7,0.0,0.0,28.0,59.0
5,,,3.0,41.0,household_agent_2,11.0,household_agent_7,0.0,0.0,11.0,41.0
6,,,4.0,41.0,generation_agent_0,31.0,household_agent_7,0.0,1.0,31.0,42.0
7,,,5.0,41.0,generation_agent_1,25.0,household_agent_7,0.0,1.0,25.0,42.0
8,,,6.0,41.0,generation_agent_2,40.0,household_agent_7,0.0,1.0,40.0,42.0
9,,,7.0,41.0,generation_agent_3,26.0,household_agent_7,0.0,0.0,26.0,41.0
10,,,101200.0,64.0,household_agent_7,39.0,household_agent_12,41.0,0.0,39.0,64.0
11,,,100100.0,83.0,household_agent_7,31.0,household_agent_1,41.0,0.0,31.0,83.0
12,,,100900.0,139.0,household_agent_7,22.0,household_agent_9,41.0,0.0,22.0,139.0
13,,,100200.0,135.0,household_agent_7,11.0,household_agent_2,41.0,0.0,11.0,135.0
14,,,101300.0,115.0,household_agent_7,31.0,generation_agent_0,42.0,0.0,31.0,115.0
15,,,101400.0,74.0,household_agent_7,25.0,generation_agent_1,42.0,0.0,25.0,74.0
16,,,101500.0,65.0,household_agent_7,40.0,generation_agent_2,42.0,0.0,40.0,65.0
17,,,101600.0,47.0,household_agent_7,26.0,generation_agent_3,41.0,0.0,26.0,47.0
