,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 20:07:57.056744,,,,,,,,,
1,Simulation configuration ID,c7c63b4d-b0f9-4115-beb2-5221931a1047,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,63.0,household_agent_0,28.0,generation_agent_3,0.0,1.0,28.0,64.0
1,,,1.0,63.0,household_agent_1,15.0,generation_agent_3,0.0,1.0,15.0,64.0
2,,,2.0,63.0,household_agent_2,35.0,generation_agent_3,0.0,1.0,35.0,64.0
3,,,3.0,63.0,household_agent_3,33.0,generation_agent_3,0.0,0.0,33.0,63.0
4,,,4.0,63.0,household_agent_4,12.0,generation_agent_3,0.0,0.0,12.0,63.0
5,,,5.0,63.0,household_agent_5,17.0,generation_agent_3,0.0,1.0,17.0,64.0
6,,,6.0,63.0,household_agent_6,16.0,generation_agent_3,0.0,1.0,16.0,64.0
7,,,7.0,63.0,household_agent_7,25.0,generation_agent_3,0.0,1.0,25.0,64.0
8,,,8.0,63.0,household_agent_8,33.0,generation_agent_3,0.0,1.0,33.0,64.0
9,,,9.0,63.0,household_agent_9,29.0,generation_agent_3,0.0,1.0,29.0,64.0
10,,,10.0,63.0,household_agent_10,31.0,generation_agent_3,0.0,1.0,31.0,64.0
11,,,11.0,63.0,household_agent_11,22.0,generation_agent_3,0.0,1.0,22.0,64.0
12,,,12.0,63.0,household_agent_12,32.0,generation_agent_3,0.0,2.0,32.0,65.0
13,,,13.0,63.0,generation_agent_0,38.0,generation_agent_3,0.0,2.0,38.0,65.0
14,,,14.0,63.0,generation_agent_1,47.0,generation_agent_3,0.0,2.0,47.0,65.0
15,,,15.0,63.0,generation_agent_2,23.0,generation_agent_3,0.0,2.0,23.0,65.0
16,,,100000.0,100.0,generation_agent_3,28.0,household_agent_0,64.0,0.0,28.0,100.0
17,,,100100.0,120.0,generation_agent_3,15.0,household_agent_1,64.0,0.0,15.0,120.0
18,,,100200.0,141.0,generation_agent_3,35.0,household_agent_2,64.0,0.0,35.0,141.0
19,,,100300.0,86.0,generation_agent_3,33.0,household_agent_3,63.0,0.0,33.0,86.0
20,,,100400.0,113.0,generation_agent_3,12.0,household_agent_4,63.0,0.0,12.0,113.0
21,,,100500.0,83.0,generation_agent_3,17.0,household_agent_5,64.0,0.0,17.0,83.0
22,,,100600.0,101.0,generation_agent_3,16.0,household_agent_6,64.0,0.0,16.0,101.0
23,,,100700.0,94.0,generation_agent_3,25.0,household_agent_7,64.0,0.0,25.0,94.0
24,,,100800.0,109.0,generation_agent_3,33.0,household_agent_8,64.0,0.0,33.0,109.0
25,,,100900.0,135.0,generation_agent_3,29.0,household_agent_9,64.0,0.0,29.0,135.0
26,,,101000.0,128.0,generation_agent_3,31.0,household_agent_10,64.0,0.0,31.0,128.0
27,,,101100.0,109.0,generation_agent_3,22.0,household_agent_11,64.0,0.0,22.0,109.0
28,,,101200.0,138.0,generation_agent_3,32.0,household_agent_12,65.0,0.0,32.0,138.0
29,,,101300.0,146.0,generation_agent_3,38.0,generation_agent_0,65.0,0.0,38.0,146.0
30,,,101400.0,81.0,generation_agent_3,47.0,generation_agent_1,65.0,0.0,47.0,81.0
31,,,101500.0,101.0,generation_agent_3,23.0,generation_agent_2,65.0,0.0,23.0,101.0
