,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 23:43:27.793512,,,,,,,,,
1,Simulation configuration ID,4a0e119d-46b5-45be-905e-4e4a8a9f4fbb,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,30.0,aggregator_agent,1017.0,991.0,control_center_agent,1.0,536.0,31.0
1,,,0.0,30.0,aggregator_agent,1017.0,991.0,control_center_agent,2.0,455.0,32.0
2,,,1.0,157.0,generation_agent_1,1014.0,991.0,aggregator_agent,2.0,536.0,159.0
3,,,1.0,157.0,generation_agent_1,1014.0,991.0,aggregator_agent,3.0,455.0,160.0
4,,,69.0,954.0,control_center_agent,1018.0,991.0,aggregator_agent,1.0,536.0,955.0
5,,,69.0,954.0,control_center_agent,1018.0,991.0,aggregator_agent,2.0,455.0,956.0
6,,,35.0,309.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,310.0
7,,,35.0,309.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,311.0
8,,,67.0,759.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,760.0
9,,,67.0,759.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,761.0
10,,,33.0,309.0,household_agent_0,1000.0,991.0,household_agent_1,1.0,536.0,310.0
11,,,33.0,309.0,household_agent_0,1000.0,991.0,household_agent_1,2.0,455.0,311.0
12,,,34.0,309.0,household_agent_2,1002.0,991.0,household_agent_1,2.0,536.0,311.0
13,,,34.0,309.0,household_agent_2,1002.0,991.0,household_agent_1,6.0,455.0,315.0
14,,,65.0,759.0,household_agent_0,1000.0,991.0,household_agent_1,1.0,536.0,760.0
15,,,65.0,759.0,household_agent_0,1000.0,991.0,household_agent_1,2.0,455.0,761.0
16,,,66.0,759.0,household_agent_2,1002.0,991.0,household_agent_1,2.0,536.0,761.0
17,,,66.0,759.0,household_agent_2,1002.0,991.0,household_agent_1,6.0,455.0,765.0
18,,,31.0,309.0,household_agent_1,1001.0,991.0,household_agent_2,2.0,536.0,311.0
19,,,31.0,309.0,household_agent_1,1001.0,991.0,household_agent_2,5.0,455.0,314.0
20,,,32.0,309.0,household_agent_3,1003.0,991.0,household_agent_2,4.0,536.0,313.0
21,,,32.0,309.0,household_agent_3,1003.0,991.0,household_agent_2,7.0,455.0,316.0
22,,,63.0,759.0,household_agent_1,1001.0,991.0,household_agent_2,2.0,536.0,761.0
23,,,63.0,759.0,household_agent_1,1001.0,991.0,household_agent_2,5.0,455.0,764.0
24,,,64.0,759.0,household_agent_3,1003.0,991.0,household_agent_2,4.0,536.0,763.0
25,,,64.0,759.0,household_agent_3,1003.0,991.0,household_agent_2,7.0,455.0,766.0
26,,,29.0,309.0,household_agent_2,1002.0,991.0,household_agent_3,3.0,536.0,312.0
27,,,29.0,309.0,household_agent_2,1002.0,991.0,household_agent_3,7.0,455.0,316.0
28,,,30.0,309.0,household_agent_4,1004.0,991.0,household_agent_3,1.0,536.0,310.0
29,,,30.0,309.0,household_agent_4,1004.0,991.0,household_agent_3,2.0,455.0,311.0
30,,,61.0,759.0,household_agent_2,1002.0,991.0,household_agent_3,3.0,536.0,762.0
31,,,61.0,759.0,household_agent_2,1002.0,991.0,household_agent_3,7.0,455.0,766.0
32,,,62.0,759.0,household_agent_4,1004.0,991.0,household_agent_3,1.0,536.0,760.0
33,,,62.0,759.0,household_agent_4,1004.0,991.0,household_agent_3,2.0,455.0,761.0
34,,,27.0,309.0,household_agent_3,1003.0,991.0,household_agent_4,1.0,536.0,310.0
35,,,27.0,309.0,household_agent_3,1003.0,991.0,household_agent_4,2.0,455.0,311.0
36,,,28.0,309.0,household_agent_5,1005.0,991.0,household_agent_4,4.0,536.0,313.0
37,,,28.0,309.0,household_agent_5,1005.0,991.0,household_agent_4,8.0,455.0,317.0
38,,,59.0,759.0,household_agent_3,1003.0,991.0,household_agent_4,1.0,536.0,760.0
39,,,59.0,759.0,household_agent_3,1003.0,991.0,household_agent_4,2.0,455.0,761.0
40,,,60.0,759.0,household_agent_5,1005.0,991.0,household_agent_4,4.0,536.0,763.0
41,,,60.0,759.0,household_agent_5,1005.0,991.0,household_agent_4,9.0,455.0,768.0
42,,,25.0,309.0,household_agent_4,1004.0,991.0,household_agent_5,5.0,536.0,314.0
43,,,25.0,309.0,household_agent_4,1004.0,991.0,household_agent_5,8.0,455.0,317.0
44,,,26.0,309.0,household_agent_6,1006.0,991.0,household_agent_5,1.0,536.0,310.0
45,,,26.0,309.0,household_agent_6,1006.0,991.0,household_agent_5,2.0,455.0,311.0
46,,,57.0,759.0,household_agent_4,1004.0,991.0,household_agent_5,5.0,536.0,764.0
47,,,57.0,759.0,household_agent_4,1004.0,991.0,household_agent_5,8.0,455.0,767.0
48,,,58.0,759.0,household_agent_6,1006.0,991.0,household_agent_5,1.0,536.0,760.0
49,,,58.0,759.0,household_agent_6,1006.0,991.0,household_agent_5,2.0,455.0,761.0
50,,,23.0,309.0,household_agent_5,1005.0,991.0,household_agent_6,1.0,536.0,310.0
51,,,23.0,309.0,household_agent_5,1005.0,991.0,household_agent_6,2.0,455.0,311.0
52,,,24.0,309.0,household_agent_7,1007.0,991.0,household_agent_6,3.0,536.0,312.0
53,,,24.0,309.0,household_agent_7,1007.0,991.0,household_agent_6,6.0,455.0,315.0
54,,,55.0,759.0,household_agent_5,1005.0,991.0,household_agent_6,1.0,536.0,760.0
55,,,55.0,759.0,household_agent_5,1005.0,991.0,household_agent_6,2.0,455.0,761.0
56,,,56.0,759.0,household_agent_7,1007.0,991.0,household_agent_6,3.0,536.0,762.0
57,,,56.0,759.0,household_agent_7,1007.0,991.0,household_agent_6,7.0,455.0,766.0
58,,,21.0,309.0,household_agent_6,1006.0,991.0,household_agent_7,3.0,536.0,312.0
59,,,21.0,309.0,household_agent_6,1006.0,991.0,household_agent_7,8.0,455.0,317.0
60,,,22.0,309.0,household_agent_8,1008.0,991.0,household_agent_7,5.0,536.0,314.0
61,,,22.0,309.0,household_agent_8,1008.0,991.0,household_agent_7,9.0,455.0,318.0
62,,,53.0,759.0,household_agent_6,1006.0,991.0,household_agent_7,3.0,536.0,762.0
63,,,53.0,759.0,household_agent_6,1006.0,991.0,household_agent_7,8.0,455.0,767.0
64,,,54.0,759.0,household_agent_8,1008.0,991.0,household_agent_7,5.0,536.0,764.0
65,,,54.0,759.0,household_agent_8,1008.0,991.0,household_agent_7,9.0,455.0,768.0
66,,,19.0,309.0,household_agent_7,1007.0,991.0,household_agent_8,5.0,536.0,314.0
67,,,19.0,309.0,household_agent_7,1007.0,991.0,household_agent_8,8.0,455.0,317.0
68,,,20.0,309.0,household_agent_9,1009.0,991.0,household_agent_8,1.0,536.0,310.0
