,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 04:14:42.386108,,,,,,,,,
1,Simulation configuration ID,e70739b9-2737-4fe3-8d59-92d13cdad32f,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,0.0,93.0,grid_operator_agent,12.0,household_agent_0,0.0,0.0,12.0,93.0
1,,,1.0,93.0,grid_operator_agent,18.0,household_agent_1,0.0,1.0,18.0,94.0
2,,,2.0,93.0,grid_operator_agent,21.0,household_agent_2,0.0,0.0,21.0,93.0
3,,,3.0,93.0,grid_operator_agent,38.0,household_agent_3,0.0,0.0,38.0,93.0
4,,,4.0,93.0,grid_operator_agent,16.0,household_agent_4,0.0,1.0,16.0,94.0
5,,,5.0,93.0,grid_operator_agent,21.0,household_agent_5,0.0,1.0,21.0,94.0
6,,,6.0,93.0,grid_operator_agent,33.0,household_agent_6,0.0,1.0,33.0,94.0
7,,,7.0,93.0,grid_operator_agent,48.0,household_agent_7,0.0,1.0,48.0,94.0
8,,,8.0,93.0,grid_operator_agent,8.0,household_agent_8,0.0,1.0,8.0,94.0
9,,,9.0,93.0,grid_operator_agent,50.0,household_agent_9,0.0,1.0,50.0,94.0
10,,,10.0,93.0,grid_operator_agent,14.0,household_agent_10,0.0,1.0,14.0,94.0
11,,,11.0,93.0,grid_operator_agent,39.0,household_agent_11,0.0,1.0,39.0,94.0
12,,,12.0,93.0,grid_operator_agent,9.0,household_agent_12,0.0,1.0,9.0,94.0
