,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 05:22:29.545281,,,,,,,,,
1,Simulation configuration ID,66752d93-dbad-4bc0-8764-78d4059a4bfd,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,68.0,household_agent_1,36.0,household_agent_0,0.0,0.0,36.0,68.0
1,,,1.0,139.0,household_agent_0,14.0,household_agent_1,0.0,0.0,14.0,139.0
2,,,2.0,135.0,household_agent_2,46.0,household_agent_1,0.0,0.0,46.0,135.0
3,,,3.0,120.0,household_agent_1,34.0,household_agent_2,0.0,0.0,34.0,120.0
4,,,4.0,51.0,household_agent_3,9.0,household_agent_2,0.0,0.0,9.0,51.0
5,,,5.0,50.0,household_agent_2,44.0,household_agent_3,0.0,0.0,44.0,50.0
6,,,6.0,124.0,household_agent_4,48.0,household_agent_3,0.0,0.0,48.0,124.0
7,,,7.0,84.0,household_agent_3,27.0,household_agent_4,0.0,0.0,27.0,84.0
8,,,8.0,79.0,household_agent_5,30.0,household_agent_4,0.0,0.0,30.0,79.0
9,,,9.0,124.0,household_agent_4,10.0,household_agent_5,0.0,0.0,10.0,124.0
10,,,10.0,55.0,household_agent_6,42.0,household_agent_5,0.0,0.0,42.0,55.0
11,,,11.0,94.0,household_agent_5,32.0,household_agent_6,0.0,0.0,32.0,94.0
12,,,12.0,147.0,household_agent_7,44.0,household_agent_6,0.0,0.0,44.0,147.0
13,,,13.0,146.0,household_agent_6,39.0,household_agent_7,0.0,0.0,39.0,146.0
14,,,14.0,66.0,household_agent_8,8.0,household_agent_7,0.0,0.0,8.0,66.0
15,,,15.0,123.0,household_agent_7,28.0,household_agent_8,0.0,0.0,28.0,123.0
16,,,16.0,127.0,household_agent_9,17.0,household_agent_8,0.0,0.0,17.0,127.0
17,,,17.0,128.0,household_agent_8,20.0,household_agent_9,0.0,0.0,20.0,128.0
18,,,18.0,68.0,household_agent_10,48.0,household_agent_9,0.0,0.0,48.0,68.0
19,,,19.0,129.0,household_agent_9,47.0,household_agent_10,0.0,0.0,47.0,129.0
20,,,20.0,137.0,household_agent_11,11.0,household_agent_10,0.0,0.0,11.0,137.0
21,,,21.0,100.0,household_agent_10,30.0,household_agent_11,0.0,0.0,30.0,100.0
22,,,22.0,63.0,household_agent_12,19.0,household_agent_11,0.0,0.0,19.0,63.0
23,,,23.0,123.0,household_agent_11,45.0,household_agent_12,0.0,0.0,45.0,123.0
