,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-18 01:07:11.541989,,,,,,,,,
1,Simulation configuration ID,53883159-798f-4218-8419-a6c2fdc0c67c,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,3.0,505.0,household_agent_0,1000.0,810.0,control_center_agent,2.0,536.0,507.0
1,,,3.0,505.0,household_agent_0,1000.0,810.0,control_center_agent,8.0,274.0,513.0
2,,,4.0,505.0,household_agent_1,1001.0,200.0,control_center_agent,2.0,200.0,507.0
3,,,5.0,505.0,household_agent_2,1002.0,342.0,control_center_agent,2.0,342.0,507.0
4,,,6.0,505.0,household_agent_3,1003.0,356.0,control_center_agent,2.0,356.0,507.0
5,,,7.0,505.0,household_agent_4,1004.0,662.0,control_center_agent,3.0,536.0,508.0
6,,,7.0,505.0,household_agent_4,1004.0,662.0,control_center_agent,8.0,126.0,513.0
7,,,8.0,505.0,household_agent_5,1005.0,438.0,control_center_agent,3.0,438.0,508.0
8,,,9.0,505.0,household_agent_6,1006.0,914.0,control_center_agent,4.0,536.0,509.0
9,,,9.0,505.0,household_agent_6,1006.0,914.0,control_center_agent,9.0,378.0,514.0
10,,,10.0,505.0,household_agent_7,1007.0,625.0,control_center_agent,5.0,536.0,510.0
11,,,10.0,505.0,household_agent_7,1007.0,625.0,control_center_agent,9.0,89.0,514.0
12,,,11.0,505.0,household_agent_8,1008.0,517.0,control_center_agent,5.0,517.0,510.0
13,,,12.0,505.0,household_agent_9,1009.0,762.0,control_center_agent,6.0,536.0,511.0
14,,,12.0,505.0,household_agent_9,1009.0,762.0,control_center_agent,9.0,226.0,514.0
15,,,13.0,505.0,household_agent_10,1010.0,691.0,control_center_agent,6.0,536.0,511.0
16,,,13.0,505.0,household_agent_10,1010.0,691.0,control_center_agent,9.0,155.0,514.0
17,,,14.0,505.0,household_agent_11,1011.0,507.0,control_center_agent,6.0,507.0,511.0
18,,,15.0,505.0,household_agent_12,1012.0,812.0,control_center_agent,7.0,536.0,512.0
19,,,15.0,505.0,household_agent_12,1012.0,812.0,control_center_agent,10.0,276.0,515.0
20,,,16.0,505.0,generation_agent_0,1013.0,229.0,control_center_agent,7.0,229.0,512.0
21,,,17.0,505.0,generation_agent_1,1014.0,272.0,control_center_agent,7.0,272.0,512.0
22,,,18.0,505.0,generation_agent_2,1015.0,455.0,control_center_agent,8.0,455.0,513.0
23,,,19.0,505.0,generation_agent_3,1016.0,766.0,control_center_agent,8.0,536.0,513.0
24,,,19.0,505.0,generation_agent_3,1016.0,766.0,control_center_agent,10.0,230.0,515.0
25,,,0.0,83.0,control_center_agent,1018.0,461.0,pdc_agent_0,1.0,461.0,84.0
26,,,1.0,83.0,control_center_agent,1018.0,284.0,pdc_agent_1,1.0,284.0,84.0
27,,,2.0,83.0,control_center_agent,1018.0,685.0,pdc_agent_2,1.0,536.0,84.0
28,,,2.0,83.0,control_center_agent,1018.0,685.0,pdc_agent_2,2.0,149.0,85.0
