,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 20:08:37.890860,,,,,,,,,
1,Simulation configuration ID,24540446-f6ff-4ca2-8e7a-92aea0164a3a,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,64.0,93.0,household_agent_0,10.0,household_agent_4,0.0,5.0,10.0,98.0
1,,,65.0,93.0,household_agent_1,47.0,household_agent_4,0.0,6.0,47.0,99.0
2,,,66.0,93.0,household_agent_2,35.0,household_agent_4,0.0,6.0,35.0,99.0
3,,,67.0,93.0,household_agent_3,17.0,household_agent_4,0.0,5.0,17.0,98.0
4,,,68.0,93.0,household_agent_5,40.0,household_agent_4,0.0,6.0,40.0,99.0
5,,,69.0,93.0,household_agent_6,27.0,household_agent_4,0.0,6.0,27.0,99.0
6,,,70.0,93.0,household_agent_7,14.0,household_agent_4,0.0,5.0,14.0,98.0
7,,,71.0,93.0,household_agent_8,42.0,household_agent_4,0.0,6.0,42.0,99.0
8,,,72.0,93.0,household_agent_9,8.0,household_agent_4,0.0,6.0,8.0,99.0
9,,,73.0,93.0,household_agent_10,42.0,household_agent_4,0.0,6.0,42.0,99.0
10,,,74.0,93.0,household_agent_11,31.0,household_agent_4,0.0,6.0,31.0,99.0
11,,,75.0,93.0,household_agent_12,46.0,household_agent_4,0.0,6.0,46.0,99.0
12,,,76.0,93.0,generation_agent_0,48.0,household_agent_4,0.0,6.0,48.0,99.0
13,,,77.0,93.0,generation_agent_1,8.0,household_agent_4,0.0,6.0,8.0,99.0
14,,,78.0,93.0,generation_agent_2,11.0,household_agent_4,0.0,6.0,11.0,99.0
15,,,79.0,93.0,generation_agent_3,22.0,household_agent_4,0.0,6.0,22.0,99.0
16,,,100000.0,149.0,household_agent_4,10.0,household_agent_0,98.0,0.0,10.0,149.0
17,,,100100.0,161.0,household_agent_4,47.0,household_agent_1,99.0,0.0,47.0,161.0
18,,,100200.0,174.0,household_agent_4,35.0,household_agent_2,99.0,0.0,35.0,174.0
19,,,100300.0,169.0,household_agent_4,17.0,household_agent_3,98.0,0.0,17.0,169.0
20,,,100500.0,165.0,household_agent_4,40.0,household_agent_5,99.0,0.0,40.0,165.0
21,,,100600.0,179.0,household_agent_4,27.0,household_agent_6,99.0,0.0,27.0,179.0
22,,,100700.0,150.0,household_agent_4,14.0,household_agent_7,98.0,0.0,14.0,150.0
23,,,100800.0,103.0,household_agent_4,42.0,household_agent_8,99.0,0.0,42.0,103.0
24,,,100900.0,125.0,household_agent_4,8.0,household_agent_9,99.0,0.0,8.0,125.0
25,,,101000.0,149.0,household_agent_4,42.0,household_agent_10,99.0,0.0,42.0,149.0
26,,,101100.0,144.0,household_agent_4,31.0,household_agent_11,99.0,0.0,31.0,144.0
27,,,101200.0,192.0,household_agent_4,46.0,household_agent_12,99.0,0.0,46.0,192.0
28,,,101300.0,106.0,household_agent_4,48.0,generation_agent_0,99.0,0.0,48.0,106.0
29,,,101400.0,121.0,household_agent_4,8.0,generation_agent_1,99.0,0.0,8.0,121.0
30,,,101500.0,174.0,household_agent_4,11.0,generation_agent_2,99.0,0.0,11.0,174.0
31,,,101600.0,144.0,household_agent_4,22.0,generation_agent_3,99.0,0.0,22.0,144.0
