,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 23:23:17.365683,,,,,,,,,
1,Simulation configuration ID,eb60ef4a-d093-4791-b8ce-9f88f05b5298,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,7.0,aggregator_agent,1017.0,191.0,control_center_agent,0.0,191.0,7.0
1,,,1.0,113.0,household_agent_0,1000.0,191.0,aggregator_agent,1.0,191.0,114.0
2,,,2.0,5870.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,5870.0
3,,,3.0,5870.0,pdc_agent_0,1021.0,191.0,household_agent_0,0.0,191.0,5870.0
4,,,4.0,5870.0,substation_agent_0,1022.0,191.0,household_agent_0,1.0,191.0,5871.0
5,,,5.0,5870.0,pdc_agent_1,1023.0,191.0,household_agent_0,1.0,191.0,5871.0
6,,,6.0,5870.0,pdc_agent_2,1024.0,191.0,household_agent_0,1.0,191.0,5871.0
7,,,7.0,22400.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,22400.0
8,,,39.0,25103.0,aggregator_agent,1017.0,191.0,household_agent_0,1.0,191.0,25104.0
9,,,8.0,22400.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,22400.0
10,,,9.0,22400.0,household_agent_2,1002.0,191.0,household_agent_1,1.0,191.0,22401.0
11,,,10.0,22400.0,household_agent_1,1001.0,191.0,household_agent_2,1.0,191.0,22401.0
12,,,11.0,22400.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,22402.0
13,,,12.0,22400.0,household_agent_2,1002.0,191.0,household_agent_3,2.0,191.0,22402.0
14,,,13.0,22400.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,22400.0
15,,,14.0,22400.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,22400.0
16,,,15.0,22400.0,household_agent_5,1005.0,191.0,household_agent_4,2.0,191.0,22402.0
17,,,16.0,22400.0,household_agent_4,1004.0,191.0,household_agent_5,1.0,191.0,22401.0
18,,,17.0,22400.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,22400.0
19,,,18.0,22400.0,household_agent_5,1005.0,191.0,household_agent_6,0.0,191.0,22400.0
20,,,19.0,22400.0,household_agent_7,1007.0,191.0,household_agent_6,2.0,191.0,22402.0
21,,,20.0,22400.0,household_agent_6,1006.0,191.0,household_agent_7,1.0,191.0,22401.0
22,,,21.0,22400.0,household_agent_8,1008.0,191.0,household_agent_7,2.0,191.0,22402.0
23,,,22.0,22400.0,household_agent_7,1007.0,191.0,household_agent_8,2.0,191.0,22402.0
24,,,23.0,22400.0,household_agent_9,1009.0,191.0,household_agent_8,0.0,191.0,22400.0
25,,,24.0,22400.0,household_agent_8,1008.0,191.0,household_agent_9,0.0,191.0,22400.0
26,,,25.0,22400.0,household_agent_10,1010.0,191.0,household_agent_9,0.0,191.0,22400.0
27,,,26.0,22400.0,household_agent_9,1009.0,191.0,household_agent_10,0.0,191.0,22400.0
28,,,27.0,22400.0,household_agent_11,1011.0,191.0,household_agent_10,1.0,191.0,22401.0
29,,,28.0,22400.0,household_agent_10,1010.0,191.0,household_agent_11,1.0,191.0,22401.0
30,,,29.0,22400.0,household_agent_12,1012.0,191.0,household_agent_11,2.0,191.0,22402.0
31,,,30.0,22400.0,household_agent_11,1011.0,191.0,household_agent_12,1.0,191.0,22401.0
32,,,31.0,22400.0,generation_agent_0,1013.0,191.0,household_agent_12,2.0,191.0,22402.0
33,,,32.0,22400.0,household_agent_12,1012.0,191.0,generation_agent_0,1.0,191.0,22401.0
34,,,33.0,22400.0,generation_agent_1,1014.0,191.0,generation_agent_0,0.0,191.0,22400.0
35,,,34.0,22400.0,generation_agent_0,1013.0,191.0,generation_agent_1,0.0,191.0,22400.0
36,,,35.0,22400.0,generation_agent_2,1015.0,191.0,generation_agent_1,0.0,191.0,22400.0
37,,,36.0,22400.0,generation_agent_1,1014.0,191.0,generation_agent_2,0.0,191.0,22400.0
38,,,37.0,22400.0,generation_agent_3,1016.0,191.0,generation_agent_2,2.0,191.0,22402.0
39,,,38.0,22400.0,generation_agent_2,1015.0,191.0,generation_agent_3,2.0,191.0,22402.0
