,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-28 12:17:51.255395,,,,,,,,,
1,Simulation configuration ID,2bfb7868-3add-4b78-a733-1640117eaa3c,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,59.0,household_agent_9,30.0,generation_agent_0,0.0,46.0,30.0,105.0
1,,,0.0,59.0,household_agent_9,30.0,generation_agent_0,0.0,47.0,12.0,108.0
2,,,1.0,59.0,household_agent_4,33.0,generation_agent_0,0.0,52.0,33.0,111.0
3,,,2.0,59.0,household_agent_7,33.0,generation_agent_0,0.0,63.0,33.0,122.0
4,,,2.0,59.0,household_agent_7,33.0,generation_agent_0,0.0,58.0,23.0,119.0
5,,,3.0,59.0,household_agent_0,25.0,generation_agent_0,0.0,68.0,25.0,127.0
6,,,4.0,59.0,household_agent_1,23.0,generation_agent_0,0.0,74.0,23.0,133.0
7,,,5.0,59.0,generation_agent_1,42.0,generation_agent_0,0.0,85.0,42.0,144.0
8,,,6.0,59.0,generation_agent_2,8.0,generation_agent_0,0.0,119.0,8.0,178.0
9,,,7.0,59.0,generation_agent_3,35.0,generation_agent_0,0.0,130.0,35.0,189.0
10,,,100900.0,588.0,generation_agent_0,30.0,household_agent_9,105.0,47.0,30.0,635.0
11,,,100400.0,472.0,generation_agent_0,33.0,household_agent_4,111.0,47.0,33.0,519.0
12,,,100700.0,1098.0,generation_agent_0,33.0,household_agent_7,122.0,47.0,33.0,1145.0
13,,,100000.0,1105.0,generation_agent_3,23.0,household_agent_0,119.0,53.0,23.0,1158.0
14,,,100001.0,356.0,generation_agent_0,25.0,household_agent_0,127.0,47.0,25.0,403.0
15,,,100100.0,604.0,generation_agent_0,23.0,household_agent_1,133.0,48.0,23.0,652.0
16,,,101400.0,790.0,generation_agent_0,42.0,generation_agent_1,144.0,47.0,42.0,837.0
17,,,101500.0,1108.0,generation_agent_3,12.0,generation_agent_2,108.0,44.0,12.0,1152.0
18,,,101501.0,972.0,generation_agent_0,8.0,generation_agent_2,178.0,47.0,8.0,1019.0
19,,,101600.0,600.0,generation_agent_0,35.0,generation_agent_3,189.0,57.0,35.0,657.0
