,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-28 14:03:21.133638,,,,,,,,,
1,Simulation configuration ID,3ea154f0-5bba-4ed4-9a71-3f82f473604a,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 20 agents,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,2.0,household_agent_2,435.0,generation_agent_0,0.0,53.0,435.0,55.0
1,,,0.0,2.0,household_agent_2,435.0,generation_agent_0,0.0,55.0,536.0,146.0
2,,,0.0,2.0,household_agent_2,435.0,generation_agent_0,0.0,89.0,124.0,180.0
3,,,0.0,2.0,household_agent_2,435.0,generation_agent_0,0.0,48.0,390.0,133.0
4,,,1.0,2.0,household_agent_11,202.0,generation_agent_0,0.0,66.0,536.0,157.0
5,,,1.0,2.0,household_agent_11,202.0,generation_agent_0,0.0,100.0,198.0,191.0
6,,,1.0,2.0,household_agent_11,202.0,generation_agent_0,0.0,64.0,202.0,66.0
7,,,1.0,2.0,household_agent_11,202.0,generation_agent_0,0.0,62.0,536.0,147.0
8,,,1.0,2.0,household_agent_11,202.0,generation_agent_0,0.0,97.0,366.0,182.0
9,,,2.0,2.0,household_agent_5,827.0,generation_agent_0,0.0,78.0,536.0,80.0
10,,,2.0,2.0,household_agent_5,827.0,generation_agent_0,0.0,113.0,291.0,115.0
11,,,3.0,2.0,household_agent_6,438.0,generation_agent_0,0.0,89.0,438.0,91.0
12,,,4.0,2.0,household_agent_8,665.0,generation_agent_0,0.0,119.0,536.0,121.0
13,,,4.0,2.0,household_agent_8,665.0,generation_agent_0,0.0,159.0,129.0,161.0
14,,,5.0,2.0,household_agent_1,996.0,generation_agent_0,0.0,127.0,536.0,129.0
15,,,5.0,2.0,household_agent_1,996.0,generation_agent_0,0.0,172.0,460.0,174.0
16,,,6.0,2.0,household_agent_0,824.0,generation_agent_0,0.0,184.0,536.0,186.0
17,,,6.0,2.0,household_agent_0,824.0,generation_agent_0,0.0,218.0,288.0,220.0
18,,,7.0,2.0,household_agent_10,328.0,generation_agent_0,0.0,195.0,328.0,197.0
19,,,8.0,2.0,household_agent_4,388.0,generation_agent_0,0.0,207.0,388.0,209.0
20,,,9.0,2.0,household_agent_12,721.0,generation_agent_0,0.0,231.0,536.0,233.0
21,,,9.0,2.0,household_agent_12,721.0,generation_agent_0,0.0,265.0,185.0,267.0
22,,,10.0,2.0,generation_agent_1,797.0,generation_agent_0,0.0,243.0,536.0,245.0
23,,,10.0,2.0,generation_agent_1,797.0,generation_agent_0,0.0,277.0,261.0,279.0
24,,,11.0,2.0,generation_agent_2,749.0,generation_agent_0,0.0,255.0,536.0,257.0
25,,,11.0,2.0,generation_agent_2,749.0,generation_agent_0,0.0,289.0,213.0,291.0
26,,,12.0,2.0,generation_agent_3,532.0,generation_agent_0,0.0,303.0,532.0,305.0
