,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-28 14:01:54.625748,,,,,,,,,
1,Simulation configuration ID,40caa297-cf62-48b5-aecc-b8ec359a4654,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 20 agents,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,39.0,household_agent_7,422.0,generation_agent_1,0.0,53.0,422.0,92.0
1,,,0.0,39.0,household_agent_7,422.0,generation_agent_1,0.0,47.0,394.0,111.0
2,,,0.0,39.0,household_agent_7,422.0,generation_agent_1,0.0,39.0,350.0,108.0
3,,,1.0,39.0,household_agent_6,254.0,generation_agent_1,0.0,63.0,254.0,102.0
4,,,1.0,39.0,household_agent_6,254.0,generation_agent_1,0.0,60.0,533.0,124.0
5,,,1.0,39.0,household_agent_6,254.0,generation_agent_1,0.0,46.0,536.0,115.0
6,,,1.0,39.0,household_agent_6,254.0,generation_agent_1,0.0,66.0,67.0,135.0
7,,,2.0,39.0,household_agent_10,647.0,generation_agent_1,0.0,75.0,536.0,114.0
8,,,2.0,39.0,household_agent_10,647.0,generation_agent_1,0.0,107.0,111.0,146.0
9,,,3.0,39.0,household_agent_5,364.0,generation_agent_1,0.0,85.0,364.0,124.0
10,,,4.0,39.0,household_agent_4,818.0,generation_agent_1,0.0,97.0,536.0,136.0
11,,,4.0,39.0,household_agent_4,818.0,generation_agent_1,0.0,129.0,282.0,168.0
12,,,5.0,39.0,household_agent_12,759.0,generation_agent_1,0.0,119.0,536.0,158.0
13,,,5.0,39.0,household_agent_12,759.0,generation_agent_1,0.0,151.0,223.0,190.0
14,,,6.0,39.0,household_agent_9,773.0,generation_agent_1,0.0,141.0,536.0,180.0
15,,,6.0,39.0,household_agent_9,773.0,generation_agent_1,0.0,173.0,237.0,212.0
16,,,7.0,39.0,household_agent_2,956.0,generation_agent_1,0.0,163.0,536.0,202.0
17,,,7.0,39.0,household_agent_2,956.0,generation_agent_1,0.0,196.0,420.0,235.0
18,,,8.0,39.0,household_agent_8,744.0,generation_agent_1,0.0,185.0,536.0,224.0
19,,,8.0,39.0,household_agent_8,744.0,generation_agent_1,0.0,218.0,208.0,257.0
20,,,9.0,39.0,household_agent_1,371.0,generation_agent_1,0.0,229.0,371.0,268.0
21,,,10.0,39.0,generation_agent_0,499.0,generation_agent_1,0.0,241.0,499.0,280.0
22,,,11.0,39.0,generation_agent_2,394.0,generation_agent_1,0.0,251.0,394.0,290.0
23,,,12.0,39.0,generation_agent_3,912.0,generation_agent_1,0.0,263.0,536.0,302.0
24,,,12.0,39.0,generation_agent_3,912.0,generation_agent_1,0.0,297.0,376.0,336.0
