,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-28 12:49:16.113586,,,,,,,,,
1,Simulation configuration ID,c9473711-200e-4310-86ee-7079b591c0af,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,73.0,generation_agent_1,695.0,generation_agent_2,0.0,49.0,536.0,122.0
1,,,0.0,73.0,generation_agent_1,695.0,generation_agent_2,0.0,83.0,159.0,156.0
2,,,1.0,73.0,generation_agent_3,729.0,generation_agent_2,0.0,61.0,536.0,134.0
3,,,1.0,73.0,generation_agent_3,729.0,generation_agent_2,0.0,95.0,193.0,168.0
4,,,101400.0,210.0,generation_agent_2,695.0,generation_agent_1,122.0,49.0,536.0,259.0
5,,,101400.0,210.0,generation_agent_2,695.0,generation_agent_1,122.0,83.0,159.0,293.0
6,,,101401.0,244.0,generation_agent_2,695.0,generation_agent_1,156.0,61.0,536.0,305.0
7,,,101401.0,244.0,generation_agent_2,695.0,generation_agent_1,156.0,95.0,159.0,339.0
8,,,101600.0,180.0,generation_agent_2,729.0,generation_agent_3,134.0,49.0,536.0,229.0
9,,,101600.0,180.0,generation_agent_2,729.0,generation_agent_3,134.0,83.0,193.0,263.0
10,,,101601.0,214.0,generation_agent_2,729.0,generation_agent_3,168.0,61.0,536.0,275.0
11,,,101601.0,214.0,generation_agent_2,729.0,generation_agent_3,168.0,95.0,193.0,309.0
