,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-28 18:23:54.794400,,,,,,,,,
1,Simulation configuration ID,c287e5c9-5971-4389-936c-0950853e223a,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,71.0,household_agent_5,100.0,household_agent_6,0.0,47.0,105.0,48.0
1,,,0.0,71.0,household_agent_5,100.0,household_agent_6,0.0,47.0,100.0,118.0
2,,,1.0,71.0,household_agent_7,114.0,household_agent_6,0.0,58.0,119.0,59.0
3,,,1.0,71.0,household_agent_7,114.0,household_agent_6,0.0,58.0,114.0,129.0
4,,,100000.0,819.0,household_agent_1,105.0,household_agent_0,48.0,47.0,105.0,866.0
5,,,100200.0,225.0,household_agent_1,119.0,household_agent_2,59.0,47.0,119.0,272.0
6,,,100500.0,509.0,household_agent_6,100.0,household_agent_5,118.0,47.0,100.0,556.0
7,,,100700.0,341.0,household_agent_6,114.0,household_agent_7,129.0,47.0,114.0,388.0
