,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 18:14:28.387182,,,,,,,,,
1,Simulation configuration ID,dc951c7c-6510-4a37-bf70-54d1de3180c2,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,84.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,103.0
1,,,1.0,127.0,household_agent_12,1012.0,41.0,aggregator_agent,41.0,41.0,168.0
2,,,52.0,672.0,control_center_agent,1017.0,41.0,aggregator_agent,22.0,41.0,694.0
3,,,47.0,988.0,household_agent_1,1001.0,41.0,household_agent_0,50.0,41.0,1038.0
4,,,48.0,988.0,generation_agent_3,1016.0,41.0,household_agent_0,42.0,41.0,1030.0
5,,,37.0,988.0,household_agent_0,1000.0,41.0,household_agent_1,43.0,41.0,1031.0
6,,,38.0,988.0,household_agent_2,1002.0,41.0,household_agent_1,49.0,41.0,1037.0
7,,,20.0,988.0,household_agent_1,1001.0,41.0,household_agent_2,49.0,41.0,1037.0
8,,,21.0,988.0,household_agent_3,1003.0,41.0,household_agent_2,42.0,41.0,1030.0
9,,,22.0,988.0,generation_agent_3,1016.0,41.0,household_agent_2,53.0,41.0,1041.0
10,,,23.0,988.0,household_agent_11,1011.0,41.0,household_agent_2,64.0,41.0,1052.0
11,,,39.0,988.0,household_agent_2,1002.0,41.0,household_agent_3,44.0,41.0,1032.0
12,,,40.0,988.0,household_agent_4,1004.0,41.0,household_agent_3,50.0,41.0,1038.0
13,,,41.0,988.0,generation_agent_2,1015.0,41.0,household_agent_3,61.0,41.0,1049.0
14,,,29.0,988.0,household_agent_3,1003.0,41.0,household_agent_4,43.0,41.0,1031.0
15,,,30.0,988.0,household_agent_5,1005.0,41.0,household_agent_4,49.0,41.0,1037.0
16,,,14.0,988.0,household_agent_4,1004.0,41.0,household_agent_5,47.0,41.0,1035.0
17,,,15.0,988.0,household_agent_6,1006.0,41.0,household_agent_5,52.0,41.0,1040.0
18,,,16.0,988.0,generation_agent_3,1016.0,41.0,household_agent_5,59.0,41.0,1047.0
19,,,17.0,988.0,household_agent_12,1012.0,41.0,household_agent_5,43.0,41.0,1031.0
20,,,26.0,988.0,household_agent_5,1005.0,41.0,household_agent_6,45.0,41.0,1033.0
21,,,27.0,988.0,household_agent_7,1007.0,41.0,household_agent_6,51.0,41.0,1039.0
22,,,28.0,988.0,generation_agent_0,1013.0,41.0,household_agent_6,56.0,41.0,1044.0
23,,,45.0,988.0,household_agent_6,1006.0,41.0,household_agent_7,41.0,41.0,1029.0
24,,,46.0,988.0,household_agent_8,1008.0,41.0,household_agent_7,47.0,41.0,1035.0
25,,,49.0,988.0,household_agent_7,1007.0,41.0,household_agent_8,45.0,41.0,1033.0
26,,,50.0,988.0,household_agent_9,1009.0,41.0,household_agent_8,51.0,41.0,1039.0
27,,,35.0,988.0,household_agent_8,1008.0,41.0,household_agent_9,43.0,41.0,1031.0
28,,,36.0,988.0,household_agent_10,1010.0,41.0,household_agent_9,49.0,41.0,1037.0
29,,,18.0,988.0,household_agent_9,1009.0,41.0,household_agent_10,45.0,41.0,1033.0
30,,,19.0,988.0,household_agent_11,1011.0,41.0,household_agent_10,51.0,41.0,1039.0
31,,,8.0,988.0,household_agent_10,1010.0,41.0,household_agent_11,43.0,41.0,1031.0
32,,,9.0,988.0,household_agent_12,1012.0,41.0,household_agent_11,37.0,41.0,1025.0
33,,,10.0,988.0,household_agent_2,1002.0,41.0,household_agent_11,50.0,41.0,1038.0
34,,,2.0,711.0,household_agent_11,1011.0,41.0,household_agent_12,41.0,41.0,752.0
35,,,3.0,711.0,generation_agent_0,1013.0,41.0,household_agent_12,47.0,41.0,758.0
36,,,4.0,711.0,household_agent_5,1005.0,41.0,household_agent_12,52.0,41.0,763.0
37,,,5.0,988.0,household_agent_11,1011.0,41.0,household_agent_12,42.0,41.0,1030.0
38,,,6.0,988.0,generation_agent_0,1013.0,41.0,household_agent_12,52.0,41.0,1040.0
39,,,7.0,988.0,household_agent_5,1005.0,41.0,household_agent_12,58.0,41.0,1046.0
40,,,51.0,388.0,aggregator_agent,1019.0,41.0,household_agent_12,41.0,41.0,429.0
41,,,11.0,988.0,household_agent_12,1012.0,41.0,generation_agent_0,41.0,41.0,1029.0
42,,,12.0,988.0,generation_agent_1,1014.0,41.0,generation_agent_0,47.0,41.0,1035.0
43,,,13.0,988.0,household_agent_6,1006.0,41.0,generation_agent_0,58.0,41.0,1046.0
44,,,24.0,988.0,generation_agent_0,1013.0,41.0,generation_agent_1,41.0,41.0,1029.0
45,,,25.0,988.0,generation_agent_2,1015.0,41.0,generation_agent_1,49.0,41.0,1037.0
46,,,42.0,988.0,household_agent_3,1003.0,41.0,generation_agent_2,45.0,41.0,1033.0
47,,,43.0,988.0,generation_agent_1,1014.0,41.0,generation_agent_2,51.0,41.0,1039.0
48,,,44.0,988.0,generation_agent_3,1016.0,41.0,generation_agent_2,56.0,41.0,1044.0
49,,,31.0,988.0,household_agent_2,1002.0,41.0,generation_agent_3,42.0,41.0,1030.0
50,,,32.0,988.0,household_agent_5,1005.0,41.0,generation_agent_3,48.0,41.0,1036.0
51,,,33.0,988.0,generation_agent_2,1015.0,41.0,generation_agent_3,71.0,41.0,1059.0
52,,,34.0,988.0,household_agent_0,1000.0,41.0,generation_agent_3,53.0,41.0,1041.0
