,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 14:08:19.821685,,,,,,,,,
1,Simulation configuration ID,d1c43b6f-e1f8-4d7d-9c40-99310bca6164,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,27.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,46.0
1,,,1.0,66.0,generation_agent_3,1016.0,191.0,aggregator_agent,64.0,191.0,130.0
2,,,299.0,213.0,control_center_agent,1017.0,191.0,aggregator_agent,26.0,191.0,239.0
3,,,18.0,70.0,household_agent_8,1008.0,191.0,household_agent_7,57.0,191.0,127.0
4,,,19.0,70.0,household_agent_1,1001.0,191.0,household_agent_7,67.0,191.0,137.0
5,,,20.0,70.0,household_agent_4,1004.0,191.0,household_agent_7,365.0,382.0,523.0
6,,,20.0,70.0,household_agent_4,1004.0,191.0,household_agent_7,78.0,191.0,148.0
7,,,21.0,70.0,household_agent_6,1006.0,191.0,household_agent_7,376.0,382.0,534.0
8,,,21.0,70.0,household_agent_6,1006.0,191.0,household_agent_7,100.0,191.0,170.0
9,,,22.0,70.0,generation_agent_0,1013.0,191.0,household_agent_7,294.0,191.0,364.0
10,,,23.0,70.0,generation_agent_1,1014.0,191.0,household_agent_7,353.0,536.0,423.0
11,,,24.0,70.0,generation_agent_2,1015.0,191.0,household_agent_7,378.0,536.0,448.0
12,,,25.0,70.0,generation_agent_3,1016.0,191.0,household_agent_7,436.0,536.0,506.0
13,,,90.0,144.0,household_agent_8,1008.0,191.0,household_agent_7,63.0,191.0,207.0
