,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 21:02:54.751596,,,,,,,,,
1,Simulation configuration ID,7e4b7a07-815d-47a4-b5b9-2f882b07fdeb,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 20 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,88.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,107.0
1,,,1.0,137.0,generation_agent_0,1013.0,41.0,aggregator_agent,50.0,41.0,187.0
2,,,183.0,300.0,control_center_agent,1017.0,41.0,aggregator_agent,28.0,41.0,328.0
3,,,42.0,184.0,household_agent_11,1011.0,41.0,household_agent_2,48.0,41.0,232.0
4,,,43.0,184.0,generation_agent_3,1016.0,41.0,household_agent_2,57.0,41.0,241.0
5,,,44.0,184.0,household_agent_7,1007.0,41.0,household_agent_2,45.0,41.0,254.0
6,,,44.0,184.0,household_agent_7,1007.0,41.0,household_agent_2,111.0,41.0,295.0
7,,,86.0,231.0,household_agent_11,1011.0,41.0,household_agent_2,44.0,41.0,275.0
8,,,87.0,231.0,generation_agent_3,1016.0,41.0,household_agent_2,54.0,41.0,285.0
9,,,88.0,231.0,household_agent_7,1007.0,41.0,household_agent_2,100.0,41.0,331.0
10,,,130.0,235.0,household_agent_11,1011.0,41.0,household_agent_2,65.0,41.0,300.0
11,,,131.0,235.0,generation_agent_3,1016.0,41.0,household_agent_2,78.0,41.0,313.0
12,,,132.0,235.0,household_agent_7,1007.0,41.0,household_agent_2,156.0,41.0,391.0
13,,,174.0,327.0,household_agent_11,1011.0,41.0,household_agent_2,44.0,41.0,371.0
14,,,175.0,327.0,generation_agent_3,1016.0,41.0,household_agent_2,54.0,41.0,381.0
15,,,176.0,327.0,household_agent_7,1007.0,41.0,household_agent_2,77.0,41.0,404.0
16,,,34.0,184.0,household_agent_2,1002.0,41.0,household_agent_11,52.0,41.0,236.0
17,,,35.0,184.0,household_agent_9,1009.0,41.0,household_agent_11,76.0,41.0,260.0
18,,,36.0,184.0,household_agent_8,1008.0,41.0,household_agent_11,138.0,41.0,322.0
19,,,78.0,231.0,household_agent_2,1002.0,41.0,household_agent_11,53.0,41.0,284.0
20,,,79.0,231.0,household_agent_9,1009.0,41.0,household_agent_11,69.0,41.0,300.0
21,,,80.0,231.0,household_agent_8,1008.0,41.0,household_agent_11,91.0,41.0,322.0
22,,,122.0,235.0,household_agent_2,1002.0,41.0,household_agent_11,76.0,41.0,311.0
23,,,123.0,235.0,household_agent_9,1009.0,41.0,household_agent_11,99.0,41.0,334.0
24,,,124.0,235.0,household_agent_8,1008.0,41.0,household_agent_11,124.0,41.0,359.0
25,,,166.0,327.0,household_agent_2,1002.0,41.0,household_agent_11,46.0,41.0,373.0
26,,,167.0,327.0,household_agent_9,1009.0,41.0,household_agent_11,57.0,41.0,384.0
27,,,168.0,327.0,household_agent_8,1008.0,41.0,household_agent_11,68.0,41.0,395.0
28,,,37.0,184.0,household_agent_11,1011.0,41.0,household_agent_9,51.0,41.0,235.0
29,,,38.0,184.0,household_agent_4,1004.0,41.0,household_agent_9,73.0,41.0,257.0
30,,,39.0,184.0,household_agent_8,1008.0,41.0,household_agent_9,84.0,41.0,268.0
31,,,81.0,231.0,household_agent_11,1011.0,41.0,household_agent_9,55.0,41.0,286.0
32,,,82.0,231.0,household_agent_4,1004.0,41.0,household_agent_9,61.0,41.0,292.0
33,,,83.0,231.0,household_agent_8,1008.0,41.0,household_agent_9,77.0,41.0,308.0
34,,,125.0,235.0,household_agent_11,1011.0,41.0,household_agent_9,92.0,41.0,327.0
35,,,126.0,235.0,household_agent_4,1004.0,41.0,household_agent_9,85.0,41.0,320.0
36,,,127.0,235.0,household_agent_8,1008.0,41.0,household_agent_9,114.0,41.0,349.0
37,,,169.0,327.0,household_agent_11,1011.0,41.0,household_agent_9,39.0,41.0,366.0
38,,,170.0,327.0,household_agent_4,1004.0,41.0,household_agent_9,50.0,41.0,377.0
39,,,171.0,327.0,household_agent_8,1008.0,41.0,household_agent_9,73.0,41.0,400.0
40,,,45.0,184.0,household_agent_9,1009.0,41.0,household_agent_4,47.0,41.0,231.0
41,,,45.0,184.0,household_agent_9,1009.0,41.0,household_agent_4,57.0,41.0,266.0
42,,,46.0,184.0,household_agent_7,1007.0,41.0,household_agent_4,56.0,41.0,240.0
43,,,89.0,231.0,household_agent_9,1009.0,41.0,household_agent_4,47.0,41.0,278.0
44,,,90.0,231.0,household_agent_7,1007.0,41.0,household_agent_4,60.0,41.0,291.0
45,,,133.0,235.0,household_agent_9,1009.0,41.0,household_agent_4,78.0,41.0,313.0
46,,,134.0,235.0,household_agent_7,1007.0,41.0,household_agent_4,83.0,41.0,318.0
47,,,177.0,327.0,household_agent_9,1009.0,41.0,household_agent_4,48.0,41.0,375.0
48,,,178.0,327.0,household_agent_7,1007.0,41.0,household_agent_4,53.0,41.0,380.0
49,,,47.0,184.0,household_agent_4,1004.0,41.0,household_agent_7,52.0,41.0,236.0
50,,,48.0,184.0,household_agent_6,1006.0,41.0,household_agent_7,65.0,41.0,249.0
51,,,49.0,184.0,household_agent_2,1002.0,41.0,household_agent_7,159.0,82.0,343.0
52,,,91.0,231.0,household_agent_4,1004.0,41.0,household_agent_7,67.0,41.0,298.0
53,,,92.0,231.0,household_agent_6,1006.0,41.0,household_agent_7,54.0,41.0,285.0
54,,,135.0,235.0,household_agent_4,1004.0,41.0,household_agent_7,91.0,41.0,326.0
55,,,136.0,235.0,household_agent_6,1006.0,41.0,household_agent_7,74.0,41.0,309.0
56,,,137.0,235.0,household_agent_2,1002.0,41.0,household_agent_7,149.0,41.0,384.0
57,,,179.0,327.0,household_agent_4,1004.0,41.0,household_agent_7,45.0,41.0,372.0
58,,,180.0,327.0,household_agent_6,1006.0,41.0,household_agent_7,51.0,41.0,378.0
59,,,181.0,327.0,household_agent_2,1002.0,41.0,household_agent_7,62.0,41.0,389.0
60,,,40.0,184.0,household_agent_7,1007.0,41.0,household_agent_6,44.0,41.0,228.0
61,,,41.0,184.0,household_agent_8,1008.0,41.0,household_agent_6,57.0,41.0,241.0
62,,,84.0,231.0,household_agent_7,1007.0,41.0,household_agent_6,56.0,41.0,287.0
63,,,85.0,231.0,household_agent_8,1008.0,41.0,household_agent_6,62.0,41.0,293.0
64,,,128.0,235.0,household_agent_7,1007.0,41.0,household_agent_6,84.0,41.0,319.0
65,,,129.0,235.0,household_agent_8,1008.0,41.0,household_agent_6,100.0,41.0,335.0
66,,,172.0,327.0,household_agent_7,1007.0,41.0,household_agent_6,47.0,41.0,374.0
67,,,173.0,327.0,household_agent_8,1008.0,41.0,household_agent_6,58.0,41.0,385.0
68,,,24.0,184.0,household_agent_11,1011.0,41.0,household_agent_8,55.0,41.0,239.0
69,,,25.0,184.0,household_agent_9,1009.0,41.0,household_agent_8,71.0,41.0,255.0
70,,,26.0,184.0,household_agent_6,1006.0,41.0,household_agent_8,121.0,41.0,305.0
71,,,27.0,184.0,household_agent_5,1005.0,41.0,household_agent_8,145.0,41.0,329.0
72,,,68.0,231.0,household_agent_11,1011.0,41.0,household_agent_8,68.0,41.0,299.0
73,,,69.0,231.0,household_agent_9,1009.0,41.0,household_agent_8,85.0,41.0,316.0
74,,,70.0,231.0,household_agent_6,1006.0,41.0,household_agent_8,85.0,41.0,316.0
75,,,71.0,231.0,household_agent_5,1005.0,41.0,household_agent_8,133.0,41.0,364.0
76,,,112.0,235.0,household_agent_11,1011.0,41.0,household_agent_8,107.0,41.0,342.0
77,,,113.0,235.0,household_agent_9,1009.0,41.0,household_agent_8,114.0,41.0,349.0
78,,,114.0,235.0,household_agent_6,1006.0,41.0,household_agent_8,120.0,41.0,355.0
79,,,115.0,235.0,household_agent_5,1005.0,41.0,household_agent_8,181.0,41.0,416.0
80,,,156.0,327.0,household_agent_11,1011.0,41.0,household_agent_8,49.0,41.0,376.0
81,,,157.0,327.0,household_agent_9,1009.0,41.0,household_agent_8,67.0,41.0,394.0
82,,,158.0,327.0,household_agent_6,1006.0,41.0,household_agent_8,72.0,41.0,399.0
83,,,159.0,327.0,household_agent_5,1005.0,41.0,household_agent_8,117.0,41.0,444.0
84,,,10.0,184.0,household_agent_8,1008.0,41.0,household_agent_5,70.0,41.0,254.0
85,,,11.0,184.0,household_agent_0,1000.0,41.0,household_agent_5,80.0,41.0,264.0
86,,,12.0,184.0,generation_agent_0,1013.0,41.0,household_agent_5,47.0,41.0,231.0
87,,,54.0,231.0,household_agent_8,1008.0,41.0,household_agent_5,155.0,82.0,386.0
88,,,55.0,231.0,household_agent_0,1000.0,41.0,household_agent_5,76.0,41.0,307.0
89,,,56.0,231.0,generation_agent_0,1013.0,41.0,household_agent_5,60.0,41.0,291.0
90,,,99.0,235.0,household_agent_0,1000.0,41.0,household_agent_5,100.0,41.0,335.0
91,,,100.0,235.0,generation_agent_0,1013.0,41.0,household_agent_5,82.0,41.0,317.0
92,,,142.0,327.0,household_agent_8,1008.0,41.0,household_agent_5,109.0,41.0,436.0
93,,,143.0,327.0,household_agent_0,1000.0,41.0,household_agent_5,68.0,41.0,395.0
94,,,144.0,327.0,generation_agent_0,1013.0,41.0,household_agent_5,46.0,41.0,373.0
95,,,28.0,184.0,household_agent_5,1005.0,41.0,household_agent_0,50.0,41.0,234.0
96,,,29.0,184.0,household_agent_3,1003.0,41.0,household_agent_0,69.0,41.0,253.0
97,,,30.0,184.0,generation_agent_2,1015.0,41.0,household_agent_0,85.0,41.0,269.0
98,,,72.0,231.0,household_agent_5,1005.0,41.0,household_agent_0,58.0,41.0,289.0
99,,,73.0,231.0,household_agent_3,1003.0,41.0,household_agent_0,69.0,41.0,300.0
