,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 22:46:47.871415,,,,,,,,,
1,Simulation configuration ID,83a19f78-d3c1-4ee2-91fb-681dad34b913,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,2.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,22.0
1,,,0.0,2.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,36.0
2,,,1.0,168.0,household_agent_5,1005.0,991.0,aggregator_agent,49.0,536.0,217.0
3,,,1.0,168.0,household_agent_5,1005.0,991.0,aggregator_agent,83.0,455.0,251.0
4,,,266.0,2544.0,control_center_agent,1017.0,991.0,aggregator_agent,29.0,536.0,2573.0
5,,,266.0,2544.0,control_center_agent,1017.0,991.0,aggregator_agent,49.0,455.0,2593.0
6,,,20.0,424.0,household_agent_1,1001.0,991.0,household_agent_0,78.0,536.0,502.0
7,,,20.0,424.0,household_agent_1,1001.0,991.0,household_agent_0,127.0,455.0,551.0
8,,,21.0,424.0,household_agent_6,1006.0,991.0,household_agent_0,69.0,536.0,493.0
9,,,21.0,424.0,household_agent_6,1006.0,991.0,household_agent_0,113.0,455.0,537.0
10,,,22.0,424.0,generation_agent_3,1016.0,991.0,household_agent_0,84.0,536.0,508.0
11,,,22.0,424.0,generation_agent_3,1016.0,991.0,household_agent_0,157.0,455.0,581.0
12,,,72.0,1179.0,household_agent_1,1001.0,991.0,household_agent_0,64.0,536.0,1243.0
13,,,72.0,1179.0,household_agent_1,1001.0,991.0,household_agent_0,138.0,455.0,1317.0
14,,,73.0,1179.0,household_agent_6,1006.0,991.0,household_agent_0,81.0,536.0,1260.0
15,,,73.0,1179.0,household_agent_6,1006.0,991.0,household_agent_0,130.0,455.0,1309.0
16,,,74.0,1179.0,generation_agent_3,1016.0,991.0,household_agent_0,87.0,536.0,1266.0
17,,,74.0,1179.0,generation_agent_3,1016.0,991.0,household_agent_0,145.0,455.0,1324.0
18,,,124.0,1525.0,household_agent_1,1001.0,991.0,household_agent_0,66.0,536.0,1591.0
19,,,124.0,1525.0,household_agent_1,1001.0,991.0,household_agent_0,118.0,455.0,1643.0
20,,,125.0,1525.0,household_agent_6,1006.0,991.0,household_agent_0,87.0,536.0,1612.0
21,,,125.0,1525.0,household_agent_6,1006.0,991.0,household_agent_0,150.0,455.0,1675.0
22,,,126.0,1525.0,generation_agent_3,1016.0,991.0,household_agent_0,104.0,536.0,1629.0
23,,,126.0,1525.0,generation_agent_3,1016.0,991.0,household_agent_0,190.0,455.0,1715.0
24,,,176.0,2044.0,household_agent_1,1001.0,991.0,household_agent_0,55.0,536.0,2099.0
