,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 05:40:31.193815,,,,,,,,,
1,Simulation configuration ID,5977d1fa-07d3-404e-a68e-04d25062aa81,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,67.0,household_agent_0,1000.0,41.0,control_center_agent,19.0,41.0,86.0
1,,,1.0,5508.0,household_agent_1,1001.0,41.0,household_agent_0,47.0,41.0,5555.0
2,,,2.0,5508.0,aggregator_agent,1019.0,41.0,household_agent_0,52.0,41.0,5560.0
3,,,3.0,5508.0,pdc_agent,1020.0,41.0,household_agent_0,58.0,41.0,5566.0
4,,,4.0,5508.0,substation_agent,1022.0,41.0,household_agent_0,63.0,41.0,5571.0
5,,,5.0,16117.0,household_agent_1,1001.0,41.0,household_agent_0,48.0,41.0,16165.0
6,,,6.0,16117.0,household_agent_0,1000.0,41.0,household_agent_1,47.0,41.0,16164.0
7,,,7.0,16117.0,household_agent_2,1002.0,41.0,household_agent_1,52.0,41.0,16169.0
8,,,8.0,16117.0,household_agent_1,1001.0,41.0,household_agent_2,54.0,41.0,16171.0
9,,,9.0,16117.0,household_agent_3,1003.0,41.0,household_agent_2,58.0,41.0,16175.0
10,,,10.0,16117.0,household_agent_2,1002.0,41.0,household_agent_3,49.0,41.0,16166.0
11,,,11.0,16117.0,household_agent_4,1004.0,41.0,household_agent_3,52.0,41.0,16169.0
12,,,12.0,16117.0,household_agent_3,1003.0,41.0,household_agent_4,48.0,41.0,16165.0
13,,,13.0,16117.0,household_agent_5,1005.0,41.0,household_agent_4,52.0,41.0,16169.0
14,,,14.0,16117.0,household_agent_4,1004.0,41.0,household_agent_5,43.0,41.0,16160.0
15,,,15.0,16117.0,household_agent_6,1006.0,41.0,household_agent_5,49.0,41.0,16166.0
16,,,16.0,16117.0,household_agent_5,1005.0,41.0,household_agent_6,64.0,41.0,16181.0
17,,,17.0,16117.0,household_agent_7,1007.0,41.0,household_agent_6,70.0,41.0,16187.0
18,,,18.0,16117.0,household_agent_6,1006.0,41.0,household_agent_7,58.0,41.0,16175.0
19,,,19.0,16117.0,household_agent_8,1008.0,41.0,household_agent_7,63.0,41.0,16180.0
20,,,20.0,16117.0,household_agent_7,1007.0,41.0,household_agent_8,52.0,41.0,16169.0
21,,,21.0,16117.0,household_agent_9,1009.0,41.0,household_agent_8,57.0,41.0,16174.0
22,,,22.0,16117.0,household_agent_8,1008.0,41.0,household_agent_9,53.0,41.0,16170.0
23,,,23.0,16117.0,household_agent_10,1010.0,41.0,household_agent_9,58.0,41.0,16175.0
24,,,24.0,16117.0,household_agent_9,1009.0,41.0,household_agent_10,48.0,41.0,16165.0
25,,,25.0,16117.0,household_agent_11,1011.0,41.0,household_agent_10,54.0,41.0,16171.0
26,,,26.0,16117.0,household_agent_10,1010.0,41.0,household_agent_11,70.0,41.0,16187.0
27,,,27.0,16117.0,household_agent_12,1012.0,41.0,household_agent_11,80.0,41.0,16197.0
28,,,28.0,16117.0,household_agent_11,1011.0,41.0,household_agent_12,63.0,41.0,16180.0
29,,,29.0,16117.0,generation_agent_0,1013.0,41.0,household_agent_12,68.0,41.0,16185.0
30,,,30.0,16117.0,household_agent_12,1012.0,41.0,generation_agent_0,58.0,41.0,16175.0
31,,,31.0,16117.0,generation_agent_1,1014.0,41.0,generation_agent_0,70.0,41.0,16187.0
32,,,32.0,16117.0,generation_agent_0,1013.0,41.0,generation_agent_1,53.0,41.0,16170.0
33,,,33.0,16117.0,generation_agent_2,1015.0,41.0,generation_agent_1,59.0,41.0,16176.0
34,,,34.0,16117.0,generation_agent_1,1014.0,41.0,generation_agent_2,69.0,41.0,16186.0
35,,,35.0,16117.0,generation_agent_3,1016.0,41.0,generation_agent_2,75.0,41.0,16192.0
36,,,36.0,16117.0,generation_agent_2,1015.0,41.0,generation_agent_3,68.0,41.0,16185.0
