,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 01:48:54.112688,,,,,,,,,
1,Simulation configuration ID,55c708bb-7d4e-4ab4-a808-47c5294ca669,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 20 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,83.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,102.0
1,,,1.0,202.0,household_agent_7,1007.0,191.0,aggregator_agent,47.0,191.0,249.0
2,,,8.0,27804.0,household_agent_7,1007.0,191.0,household_agent_4,45.0,191.0,27849.0
3,,,8.0,27804.0,household_agent_7,1007.0,191.0,household_agent_4,48.0,191.0,29277.0
4,,,9.0,27804.0,household_agent_2,1002.0,191.0,household_agent_4,82.0,191.0,27886.0
5,,,9.0,27804.0,household_agent_2,1002.0,191.0,household_agent_4,58.0,191.0,29287.0
6,,,10.0,27804.0,household_agent_10,1010.0,191.0,household_agent_4,55.0,191.0,27859.0
7,,,11.0,27804.0,generation_agent_3,1016.0,191.0,household_agent_4,66.0,191.0,27870.0
8,,,2.0,5760.0,household_agent_4,1004.0,191.0,household_agent_7,47.0,191.0,5807.0
9,,,3.0,5760.0,household_agent_1,1001.0,191.0,household_agent_7,58.0,191.0,5818.0
10,,,4.0,5760.0,household_agent_9,1009.0,191.0,household_agent_7,69.0,191.0,5829.0
11,,,5.0,27804.0,household_agent_4,1004.0,191.0,household_agent_7,46.0,191.0,27850.0
12,,,6.0,27804.0,household_agent_1,1001.0,191.0,household_agent_7,58.0,191.0,27862.0
13,,,7.0,27804.0,household_agent_9,1009.0,191.0,household_agent_7,70.0,191.0,27874.0
14,,,12.0,27804.0,household_agent_7,1007.0,191.0,household_agent_1,53.0,191.0,27857.0
15,,,13.0,27804.0,household_agent_2,1002.0,191.0,household_agent_1,65.0,191.0,27869.0
16,,,17.0,27804.0,household_agent_1,1001.0,191.0,household_agent_2,51.0,191.0,27855.0
17,,,18.0,27804.0,household_agent_5,1005.0,191.0,household_agent_2,62.0,191.0,27866.0
18,,,19.0,27804.0,household_agent_4,1004.0,191.0,household_agent_2,73.0,191.0,27877.0
19,,,25.0,27804.0,household_agent_2,1002.0,191.0,household_agent_5,47.0,191.0,27851.0
20,,,26.0,27804.0,household_agent_9,1009.0,191.0,household_agent_5,59.0,191.0,27863.0
21,,,14.0,27804.0,household_agent_5,1005.0,191.0,household_agent_9,66.0,191.0,27870.0
22,,,15.0,27804.0,household_agent_8,1008.0,191.0,household_agent_9,78.0,191.0,27882.0
23,,,16.0,27804.0,household_agent_7,1007.0,191.0,household_agent_9,54.0,191.0,27858.0
24,,,27.0,27804.0,household_agent_9,1009.0,191.0,household_agent_8,60.0,191.0,27864.0
25,,,28.0,27804.0,household_agent_12,1012.0,191.0,household_agent_8,59.0,191.0,29288.0
26,,,28.0,27804.0,household_agent_12,1012.0,191.0,household_agent_8,69.0,191.0,27873.0
27,,,35.0,27804.0,household_agent_8,1008.0,191.0,household_agent_12,52.0,191.0,27856.0
28,,,36.0,27804.0,household_agent_3,1003.0,191.0,household_agent_12,63.0,191.0,27867.0
29,,,29.0,27804.0,household_agent_12,1012.0,191.0,household_agent_3,44.0,191.0,27848.0
30,,,30.0,27804.0,household_agent_10,1010.0,191.0,household_agent_3,56.0,191.0,27860.0
31,,,20.0,27804.0,household_agent_3,1003.0,191.0,household_agent_10,54.0,191.0,27858.0
32,,,21.0,27804.0,generation_agent_0,1013.0,191.0,household_agent_10,67.0,191.0,27871.0
33,,,22.0,27804.0,household_agent_4,1004.0,191.0,household_agent_10,79.0,191.0,27883.0
34,,,31.0,27804.0,household_agent_10,1010.0,191.0,generation_agent_0,61.0,191.0,27865.0
35,,,32.0,27804.0,generation_agent_1,1014.0,191.0,generation_agent_0,72.0,191.0,27876.0
36,,,37.0,27804.0,generation_agent_0,1013.0,191.0,generation_agent_1,64.0,191.0,27868.0
37,,,38.0,27804.0,generation_agent_2,1015.0,191.0,generation_agent_1,75.0,191.0,27879.0
38,,,33.0,27804.0,generation_agent_1,1014.0,191.0,generation_agent_2,62.0,191.0,27866.0
39,,,34.0,27804.0,generation_agent_3,1016.0,191.0,generation_agent_2,71.0,191.0,27875.0
40,,,23.0,27804.0,generation_agent_2,1015.0,191.0,generation_agent_3,57.0,191.0,27861.0
41,,,24.0,27804.0,household_agent_4,1004.0,191.0,generation_agent_3,77.0,191.0,27881.0
