,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 12:52:12.364094,,,,,,,,,
1,Simulation configuration ID,2ba34f13-0710-49e1-b358-11e641371414,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,64.0,aggregator_agent,1019.0,991.0,control_center_agent,19.0,536.0,83.0
1,,,0.0,64.0,aggregator_agent,1019.0,991.0,control_center_agent,33.0,455.0,97.0
2,,,1.0,163.0,generation_agent_3,1016.0,991.0,aggregator_agent,47.0,536.0,210.0
3,,,1.0,163.0,generation_agent_3,1016.0,991.0,aggregator_agent,81.0,455.0,244.0
4,,,11.0,7729.0,household_agent_1,1001.0,991.0,household_agent_0,54.0,536.0,7783.0
5,,,11.0,7729.0,household_agent_1,1001.0,991.0,household_agent_0,88.0,455.0,7817.0
6,,,12.0,7729.0,household_agent_12,1012.0,991.0,household_agent_0,61.0,536.0,7790.0
7,,,12.0,7729.0,household_agent_12,1012.0,991.0,household_agent_0,99.0,455.0,7828.0
8,,,13.0,7729.0,generation_agent_3,1016.0,991.0,household_agent_0,76.0,536.0,7805.0
9,,,13.0,7729.0,generation_agent_3,1016.0,991.0,household_agent_0,110.0,455.0,7839.0
10,,,59.0,10253.0,household_agent_1,1001.0,991.0,household_agent_0,52.0,536.0,10305.0
11,,,59.0,10253.0,household_agent_1,1001.0,991.0,household_agent_0,82.0,455.0,10335.0
12,,,60.0,10253.0,household_agent_12,1012.0,991.0,household_agent_0,58.0,536.0,10311.0
13,,,60.0,10253.0,household_agent_12,1012.0,991.0,household_agent_0,92.0,455.0,10345.0
14,,,61.0,10253.0,generation_agent_3,1016.0,991.0,household_agent_0,69.0,536.0,10322.0
15,,,61.0,10253.0,generation_agent_3,1016.0,991.0,household_agent_0,103.0,455.0,10356.0
16,,,27.0,7729.0,household_agent_0,1000.0,991.0,household_agent_1,57.0,536.0,7786.0
17,,,27.0,7729.0,household_agent_0,1000.0,991.0,household_agent_1,91.0,455.0,7820.0
18,,,28.0,7729.0,household_agent_2,1002.0,991.0,household_agent_1,73.0,536.0,7802.0
19,,,28.0,7729.0,household_agent_2,1002.0,991.0,household_agent_1,105.0,455.0,7834.0
20,,,75.0,10253.0,household_agent_0,1000.0,991.0,household_agent_1,51.0,536.0,10304.0
21,,,75.0,10253.0,household_agent_0,1000.0,991.0,household_agent_1,84.0,455.0,10337.0
22,,,76.0,10253.0,household_agent_2,1002.0,991.0,household_agent_1,67.0,536.0,10320.0
23,,,76.0,10253.0,household_agent_2,1002.0,991.0,household_agent_1,101.0,455.0,10354.0
24,,,24.0,7729.0,household_agent_1,1001.0,991.0,household_agent_2,55.0,536.0,7784.0
25,,,24.0,7729.0,household_agent_1,1001.0,991.0,household_agent_2,91.0,455.0,7820.0
26,,,25.0,7729.0,household_agent_3,1003.0,991.0,household_agent_2,44.0,536.0,7773.0
27,,,25.0,7729.0,household_agent_3,1003.0,991.0,household_agent_2,71.0,455.0,7800.0
28,,,26.0,7729.0,generation_agent_2,1015.0,991.0,household_agent_2,77.0,536.0,7806.0
29,,,26.0,7729.0,generation_agent_2,1015.0,991.0,household_agent_2,151.0,455.0,7880.0
30,,,72.0,10253.0,household_agent_1,1001.0,991.0,household_agent_2,54.0,536.0,10307.0
31,,,72.0,10253.0,household_agent_1,1001.0,991.0,household_agent_2,87.0,455.0,10340.0
32,,,73.0,10253.0,household_agent_3,1003.0,991.0,household_agent_2,60.0,536.0,10313.0
