,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 04:55:15.760192,,,,,,,,,
1,Simulation configuration ID,1fdfd3ae-f556-4c98-860c-e9671bbb33d5,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 20 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,35.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,55.0
1,,,0.0,35.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,69.0
2,,,1.0,105.0,generation_agent_0,1013.0,991.0,aggregator_agent,49.0,536.0,154.0
3,,,1.0,105.0,generation_agent_0,1013.0,991.0,aggregator_agent,83.0,455.0,188.0
4,,,29.0,16163.0,household_agent_9,1009.0,991.0,household_agent_6,48.0,536.0,16211.0
5,,,29.0,16163.0,household_agent_9,1009.0,991.0,household_agent_6,79.0,455.0,16242.0
6,,,27.0,16163.0,household_agent_6,1006.0,991.0,household_agent_9,59.0,536.0,16222.0
7,,,27.0,16163.0,household_agent_6,1006.0,991.0,household_agent_9,94.0,455.0,16257.0
8,,,28.0,16163.0,household_agent_4,1004.0,991.0,household_agent_9,66.0,536.0,16229.0
9,,,28.0,16163.0,household_agent_4,1004.0,991.0,household_agent_9,105.0,455.0,16268.0
10,,,25.0,16163.0,household_agent_9,1009.0,991.0,household_agent_4,56.0,536.0,16219.0
11,,,25.0,16163.0,household_agent_9,1009.0,991.0,household_agent_4,97.0,455.0,16260.0
12,,,26.0,16163.0,household_agent_10,1010.0,991.0,household_agent_4,69.0,536.0,16232.0
13,,,26.0,16163.0,household_agent_10,1010.0,991.0,household_agent_4,110.0,455.0,16273.0
14,,,23.0,16163.0,household_agent_4,1004.0,991.0,household_agent_10,67.0,536.0,16230.0
15,,,23.0,16163.0,household_agent_4,1004.0,991.0,household_agent_10,101.0,455.0,16264.0
16,,,24.0,16163.0,household_agent_7,1007.0,991.0,household_agent_10,78.0,536.0,16241.0
17,,,24.0,16163.0,household_agent_7,1007.0,991.0,household_agent_10,113.0,455.0,16276.0
18,,,21.0,16163.0,household_agent_10,1010.0,991.0,household_agent_7,49.0,536.0,16212.0
19,,,21.0,16163.0,household_agent_10,1010.0,991.0,household_agent_7,99.0,455.0,16262.0
20,,,22.0,16163.0,household_agent_11,1011.0,991.0,household_agent_7,65.0,536.0,16228.0
21,,,22.0,16163.0,household_agent_11,1011.0,991.0,household_agent_7,110.0,455.0,16273.0
22,,,19.0,16163.0,household_agent_7,1007.0,991.0,household_agent_11,71.0,536.0,16234.0
23,,,19.0,16163.0,household_agent_7,1007.0,991.0,household_agent_11,111.0,455.0,16274.0
24,,,20.0,16163.0,household_agent_12,1012.0,991.0,household_agent_11,86.0,536.0,16249.0
25,,,20.0,16163.0,household_agent_12,1012.0,991.0,household_agent_11,128.0,455.0,16291.0
26,,,17.0,16163.0,household_agent_11,1011.0,991.0,household_agent_12,66.0,536.0,16229.0
27,,,17.0,16163.0,household_agent_11,1011.0,991.0,household_agent_12,107.0,455.0,16270.0
28,,,18.0,16163.0,household_agent_2,1002.0,991.0,household_agent_12,72.0,536.0,16235.0
29,,,18.0,16163.0,household_agent_2,1002.0,991.0,household_agent_12,120.0,455.0,16283.0
30,,,14.0,16163.0,household_agent_12,1012.0,991.0,household_agent_2,46.0,536.0,16209.0
31,,,14.0,16163.0,household_agent_12,1012.0,991.0,household_agent_2,93.0,455.0,16256.0
32,,,15.0,16163.0,household_agent_3,1003.0,991.0,household_agent_2,61.0,536.0,16224.0
33,,,15.0,16163.0,household_agent_3,1003.0,991.0,household_agent_2,104.0,455.0,16267.0
34,,,10.0,16163.0,household_agent_2,1002.0,991.0,household_agent_3,52.0,536.0,16215.0
35,,,10.0,16163.0,household_agent_2,1002.0,991.0,household_agent_3,81.0,455.0,16244.0
36,,,11.0,16163.0,household_agent_1,1001.0,991.0,household_agent_3,95.0,536.0,16258.0
37,,,11.0,16163.0,household_agent_1,1001.0,991.0,household_agent_3,129.0,455.0,16292.0
38,,,6.0,16163.0,household_agent_3,1003.0,991.0,household_agent_1,77.0,536.0,16240.0
39,,,6.0,16163.0,household_agent_3,1003.0,991.0,household_agent_1,119.0,455.0,16282.0
40,,,7.0,16163.0,generation_agent_0,1013.0,991.0,household_agent_1,53.0,536.0,16216.0
41,,,7.0,16163.0,generation_agent_0,1013.0,991.0,household_agent_1,96.0,455.0,16259.0
42,,,2.0,5013.0,household_agent_1,1001.0,991.0,generation_agent_0,50.0,536.0,5063.0
43,,,2.0,5013.0,household_agent_1,1001.0,991.0,generation_agent_0,85.0,455.0,5098.0
44,,,3.0,5013.0,generation_agent_1,1014.0,991.0,generation_agent_0,62.0,536.0,5075.0
45,,,3.0,5013.0,generation_agent_1,1014.0,991.0,generation_agent_0,97.0,455.0,5110.0
46,,,4.0,16163.0,household_agent_1,1001.0,991.0,generation_agent_0,74.0,536.0,16237.0
47,,,4.0,16163.0,household_agent_1,1001.0,991.0,generation_agent_0,117.0,455.0,16280.0
48,,,5.0,16163.0,generation_agent_1,1014.0,991.0,generation_agent_0,86.0,536.0,16249.0
49,,,5.0,16163.0,generation_agent_1,1014.0,991.0,generation_agent_0,126.0,455.0,16289.0
50,,,30.0,28127.0,aggregator_agent,1019.0,991.0,generation_agent_0,50.0,536.0,28177.0
51,,,30.0,28127.0,aggregator_agent,1019.0,991.0,generation_agent_0,85.0,455.0,28212.0
52,,,8.0,16163.0,generation_agent_0,1013.0,991.0,generation_agent_1,56.0,536.0,16219.0
53,,,8.0,16163.0,generation_agent_0,1013.0,991.0,generation_agent_1,103.0,455.0,16266.0
54,,,9.0,16163.0,generation_agent_2,1015.0,991.0,generation_agent_1,69.0,536.0,16232.0
55,,,9.0,16163.0,generation_agent_2,1015.0,991.0,generation_agent_1,117.0,455.0,16280.0
56,,,12.0,16163.0,generation_agent_1,1014.0,991.0,generation_agent_2,66.0,536.0,16229.0
57,,,12.0,16163.0,generation_agent_1,1014.0,991.0,generation_agent_2,102.0,455.0,16265.0
58,,,13.0,16163.0,generation_agent_3,1016.0,991.0,generation_agent_2,77.0,536.0,16240.0
59,,,13.0,16163.0,generation_agent_3,1016.0,991.0,generation_agent_2,114.0,455.0,16277.0
60,,,16.0,16163.0,generation_agent_2,1015.0,991.0,generation_agent_3,60.0,536.0,16223.0
61,,,16.0,16163.0,generation_agent_2,1015.0,991.0,generation_agent_3,98.0,455.0,16261.0
