,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 21:27:33.098098,,,,,,,,,
1,Simulation configuration ID,163dfd07-b98e-4db9-ac76-065bfb0c1346,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 20 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,88.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,107.0
1,,,1.0,160.0,household_agent_9,1009.0,41.0,aggregator_agent,47.0,41.0,207.0
2,,,109.0,2491.0,control_center_agent,1017.0,41.0,aggregator_agent,28.0,41.0,2519.0
3,,,10.0,775.0,household_agent_1,1001.0,41.0,household_agent_7,47.0,41.0,822.0
4,,,36.0,1549.0,household_agent_1,1001.0,41.0,household_agent_7,47.0,41.0,1596.0
5,,,62.0,1752.0,household_agent_1,1001.0,41.0,household_agent_7,47.0,41.0,1799.0
6,,,62.0,1752.0,household_agent_1,1001.0,41.0,household_agent_7,131.0,41.0,1085.0
7,,,88.0,2231.0,household_agent_1,1001.0,41.0,household_agent_7,47.0,41.0,2278.0
8,,,6.0,775.0,household_agent_7,1007.0,41.0,household_agent_1,47.0,41.0,822.0
9,,,7.0,775.0,household_agent_9,1009.0,41.0,household_agent_1,53.0,41.0,828.0
10,,,32.0,1549.0,household_agent_7,1007.0,41.0,household_agent_1,47.0,41.0,1596.0
11,,,33.0,1549.0,household_agent_9,1009.0,41.0,household_agent_1,53.0,41.0,1602.0
12,,,58.0,1752.0,household_agent_7,1007.0,41.0,household_agent_1,47.0,41.0,1799.0
13,,,59.0,1752.0,household_agent_9,1009.0,41.0,household_agent_1,86.0,41.0,1040.0
14,,,59.0,1752.0,household_agent_9,1009.0,41.0,household_agent_1,53.0,41.0,1805.0
15,,,84.0,2231.0,household_agent_7,1007.0,41.0,household_agent_1,47.0,41.0,2278.0
16,,,85.0,2231.0,household_agent_9,1009.0,41.0,household_agent_1,53.0,41.0,2284.0
17,,,2.0,904.0,household_agent_1,1001.0,41.0,household_agent_9,47.0,41.0,951.0
18,,,3.0,904.0,household_agent_10,1010.0,41.0,household_agent_9,52.0,41.0,956.0
19,,,4.0,775.0,household_agent_1,1001.0,41.0,household_agent_9,53.0,41.0,828.0
20,,,5.0,775.0,household_agent_10,1010.0,41.0,household_agent_9,57.0,41.0,832.0
21,,,30.0,1549.0,household_agent_1,1001.0,41.0,household_agent_9,52.0,41.0,1601.0
22,,,31.0,1549.0,household_agent_10,1010.0,41.0,household_agent_9,57.0,41.0,1606.0
23,,,56.0,1752.0,household_agent_1,1001.0,41.0,household_agent_9,64.0,41.0,1018.0
24,,,56.0,1752.0,household_agent_1,1001.0,41.0,household_agent_9,53.0,41.0,1805.0
25,,,57.0,1752.0,household_agent_10,1010.0,41.0,household_agent_9,57.0,41.0,1809.0
26,,,57.0,1752.0,household_agent_10,1010.0,41.0,household_agent_9,68.0,41.0,1022.0
27,,,82.0,2231.0,household_agent_1,1001.0,41.0,household_agent_9,53.0,41.0,2284.0
28,,,83.0,2231.0,household_agent_10,1010.0,41.0,household_agent_9,57.0,41.0,2288.0
29,,,108.0,1674.0,aggregator_agent,1019.0,41.0,household_agent_9,47.0,41.0,1721.0
30,,,8.0,775.0,household_agent_9,1009.0,41.0,household_agent_10,58.0,41.0,833.0
31,,,9.0,775.0,household_agent_4,1004.0,41.0,household_agent_10,63.0,41.0,838.0
32,,,34.0,1549.0,household_agent_9,1009.0,41.0,household_agent_10,58.0,41.0,1607.0
33,,,35.0,1549.0,household_agent_4,1004.0,41.0,household_agent_10,63.0,41.0,1612.0
34,,,60.0,1752.0,household_agent_9,1009.0,41.0,household_agent_10,58.0,41.0,1810.0
35,,,60.0,1752.0,household_agent_9,1009.0,41.0,household_agent_10,90.0,41.0,1044.0
36,,,61.0,1752.0,household_agent_4,1004.0,41.0,household_agent_10,97.0,41.0,1051.0
37,,,61.0,1752.0,household_agent_4,1004.0,41.0,household_agent_10,63.0,41.0,1815.0
38,,,86.0,2231.0,household_agent_9,1009.0,41.0,household_agent_10,58.0,41.0,2289.0
39,,,87.0,2231.0,household_agent_4,1004.0,41.0,household_agent_10,63.0,41.0,2294.0
40,,,11.0,775.0,household_agent_10,1010.0,41.0,household_agent_4,45.0,41.0,820.0
41,,,12.0,775.0,household_agent_12,1012.0,41.0,household_agent_4,55.0,41.0,830.0
42,,,37.0,1549.0,household_agent_10,1010.0,41.0,household_agent_4,44.0,41.0,1593.0
43,,,38.0,1549.0,household_agent_12,1012.0,41.0,household_agent_4,55.0,41.0,1604.0
44,,,63.0,1752.0,household_agent_10,1010.0,41.0,household_agent_4,45.0,41.0,1797.0
45,,,63.0,1752.0,household_agent_10,1010.0,41.0,household_agent_4,135.0,41.0,1089.0
46,,,64.0,1752.0,household_agent_12,1012.0,41.0,household_agent_4,55.0,41.0,1807.0
47,,,64.0,1752.0,household_agent_12,1012.0,41.0,household_agent_4,141.0,41.0,1095.0
48,,,89.0,2231.0,household_agent_10,1010.0,41.0,household_agent_4,44.0,41.0,2275.0
49,,,90.0,2231.0,household_agent_12,1012.0,41.0,household_agent_4,47.0,41.0,1205.0
50,,,90.0,2231.0,household_agent_12,1012.0,41.0,household_agent_4,55.0,41.0,2286.0
51,,,13.0,775.0,household_agent_4,1004.0,41.0,household_agent_12,52.0,41.0,827.0
52,,,14.0,775.0,household_agent_3,1003.0,41.0,household_agent_12,57.0,41.0,832.0
53,,,39.0,1549.0,household_agent_4,1004.0,41.0,household_agent_12,53.0,41.0,1602.0
