,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 09:55:06.476575,,,,,,,,,
1,Simulation configuration ID,f518ea6b-f36c-4f27-a165-d1b959b0d206,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,11.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,31.0
1,,,0.0,11.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,45.0
2,,,1.0,32.0,household_agent_1,1001.0,991.0,aggregator_agent,55.0,536.0,87.0
3,,,1.0,32.0,household_agent_1,1001.0,991.0,aggregator_agent,89.0,455.0,121.0
4,,,6.0,23483.0,household_agent_1,1001.0,991.0,household_agent_0,54.0,536.0,23537.0
5,,,6.0,23483.0,household_agent_1,1001.0,991.0,household_agent_0,95.0,455.0,23578.0
6,,,2.0,22602.0,household_agent_0,1000.0,991.0,household_agent_1,49.0,536.0,22651.0
7,,,2.0,22602.0,household_agent_0,1000.0,991.0,household_agent_1,83.0,455.0,22685.0
8,,,3.0,22602.0,household_agent_2,1002.0,991.0,household_agent_1,60.0,536.0,22662.0
9,,,3.0,22602.0,household_agent_2,1002.0,991.0,household_agent_1,94.0,455.0,22696.0
10,,,4.0,23483.0,household_agent_0,1000.0,991.0,household_agent_1,52.0,536.0,23535.0
11,,,4.0,23483.0,household_agent_0,1000.0,991.0,household_agent_1,88.0,455.0,23571.0
12,,,5.0,23483.0,household_agent_2,1002.0,991.0,household_agent_1,64.0,536.0,23547.0
13,,,5.0,23483.0,household_agent_2,1002.0,991.0,household_agent_1,99.0,455.0,23582.0
14,,,36.0,29380.0,aggregator_agent,1019.0,991.0,household_agent_1,49.0,536.0,29429.0
15,,,36.0,29380.0,aggregator_agent,1019.0,991.0,household_agent_1,83.0,455.0,29463.0
16,,,7.0,23483.0,household_agent_1,1001.0,991.0,household_agent_2,64.0,536.0,23547.0
17,,,7.0,23483.0,household_agent_1,1001.0,991.0,household_agent_2,112.0,455.0,23595.0
18,,,8.0,23483.0,household_agent_3,1003.0,991.0,household_agent_2,70.0,536.0,23553.0
19,,,8.0,23483.0,household_agent_3,1003.0,991.0,household_agent_2,129.0,455.0,23612.0
20,,,9.0,23483.0,household_agent_2,1002.0,991.0,household_agent_3,56.0,536.0,23539.0
21,,,9.0,23483.0,household_agent_2,1002.0,991.0,household_agent_3,91.0,455.0,23574.0
22,,,10.0,23483.0,household_agent_4,1004.0,991.0,household_agent_3,69.0,536.0,23552.0
23,,,10.0,23483.0,household_agent_4,1004.0,991.0,household_agent_3,107.0,455.0,23590.0
24,,,11.0,23483.0,household_agent_3,1003.0,991.0,household_agent_4,61.0,536.0,23544.0
25,,,11.0,23483.0,household_agent_3,1003.0,991.0,household_agent_4,100.0,455.0,23583.0
26,,,12.0,23483.0,household_agent_5,1005.0,991.0,household_agent_4,73.0,536.0,23556.0
27,,,12.0,23483.0,household_agent_5,1005.0,991.0,household_agent_4,109.0,455.0,23592.0
28,,,13.0,23483.0,household_agent_4,1004.0,991.0,household_agent_5,51.0,536.0,23534.0
29,,,13.0,23483.0,household_agent_4,1004.0,991.0,household_agent_5,98.0,455.0,23581.0
30,,,14.0,23483.0,household_agent_6,1006.0,991.0,household_agent_5,72.0,536.0,23555.0
31,,,14.0,23483.0,household_agent_6,1006.0,991.0,household_agent_5,105.0,455.0,23588.0
32,,,15.0,23483.0,household_agent_5,1005.0,991.0,household_agent_6,76.0,536.0,23559.0
33,,,15.0,23483.0,household_agent_5,1005.0,991.0,household_agent_6,119.0,455.0,23602.0
34,,,16.0,23483.0,household_agent_7,1007.0,991.0,household_agent_6,85.0,536.0,23568.0
35,,,16.0,23483.0,household_agent_7,1007.0,991.0,household_agent_6,131.0,455.0,23614.0
36,,,17.0,23483.0,household_agent_6,1006.0,991.0,household_agent_7,80.0,536.0,23563.0
37,,,17.0,23483.0,household_agent_6,1006.0,991.0,household_agent_7,120.0,455.0,23603.0
38,,,18.0,23483.0,household_agent_8,1008.0,991.0,household_agent_7,90.0,536.0,23573.0
39,,,18.0,23483.0,household_agent_8,1008.0,991.0,household_agent_7,133.0,455.0,23616.0
40,,,19.0,23483.0,household_agent_7,1007.0,991.0,household_agent_8,54.0,536.0,23537.0
41,,,19.0,23483.0,household_agent_7,1007.0,991.0,household_agent_8,115.0,455.0,23598.0
42,,,20.0,23483.0,household_agent_9,1009.0,991.0,household_agent_8,70.0,536.0,23553.0
