,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 09:28:51.125075,,,,,,,,,
1,Simulation configuration ID,ae91319f-1f01-468e-9299-b005ee6477b3,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,97.0,household_agent_6,1006.0,991.0,control_center_agent,20.0,536.0,117.0
1,,,0.0,97.0,household_agent_6,1006.0,991.0,control_center_agent,34.0,455.0,131.0
2,,,21.0,870.0,household_agent_1,1001.0,991.0,household_agent_0,50.0,536.0,920.0
3,,,21.0,870.0,household_agent_1,1001.0,991.0,household_agent_0,106.0,455.0,976.0
4,,,22.0,870.0,household_agent_4,1004.0,991.0,household_agent_0,71.0,536.0,941.0
5,,,22.0,870.0,household_agent_4,1004.0,991.0,household_agent_0,117.0,455.0,987.0
6,,,23.0,870.0,generation_agent_3,1016.0,991.0,household_agent_0,109.0,536.0,979.0
7,,,23.0,870.0,generation_agent_3,1016.0,991.0,household_agent_0,146.0,455.0,1016.0
8,,,65.0,1283.0,household_agent_1,1001.0,991.0,household_agent_0,47.0,536.0,1330.0
9,,,65.0,1283.0,household_agent_1,1001.0,991.0,household_agent_0,82.0,455.0,1365.0
10,,,66.0,1283.0,household_agent_4,1004.0,991.0,household_agent_0,62.0,536.0,1345.0
11,,,66.0,1283.0,household_agent_4,1004.0,991.0,household_agent_0,107.0,455.0,1390.0
12,,,67.0,1283.0,generation_agent_3,1016.0,991.0,household_agent_0,119.0,536.0,1402.0
13,,,67.0,1283.0,generation_agent_3,1016.0,991.0,household_agent_0,157.0,455.0,1440.0
14,,,109.0,2058.0,household_agent_1,1001.0,991.0,household_agent_0,48.0,536.0,2106.0
15,,,109.0,2058.0,household_agent_1,1001.0,991.0,household_agent_0,72.0,455.0,2130.0
16,,,110.0,2058.0,household_agent_4,1004.0,991.0,household_agent_0,58.0,536.0,2116.0
17,,,110.0,2058.0,household_agent_4,1004.0,991.0,household_agent_0,89.0,455.0,2147.0
18,,,111.0,2058.0,generation_agent_3,1016.0,991.0,household_agent_0,105.0,536.0,2163.0
19,,,111.0,2058.0,generation_agent_3,1016.0,991.0,household_agent_0,140.0,455.0,2198.0
20,,,153.0,2859.0,household_agent_1,1001.0,991.0,household_agent_0,51.0,536.0,2910.0
21,,,153.0,2859.0,household_agent_1,1001.0,991.0,household_agent_0,105.0,455.0,2964.0
22,,,154.0,2859.0,household_agent_4,1004.0,991.0,household_agent_0,85.0,536.0,2944.0
23,,,154.0,2859.0,household_agent_4,1004.0,991.0,household_agent_0,150.0,455.0,3009.0
24,,,155.0,2859.0,generation_agent_3,1016.0,991.0,household_agent_0,110.0,536.0,2969.0
25,,,155.0,2859.0,generation_agent_3,1016.0,991.0,household_agent_0,161.0,455.0,3020.0
26,,,197.0,3649.0,household_agent_1,1001.0,991.0,household_agent_0,52.0,536.0,3701.0
27,,,197.0,3649.0,household_agent_1,1001.0,991.0,household_agent_0,127.0,455.0,3776.0
28,,,198.0,3649.0,household_agent_4,1004.0,991.0,household_agent_0,75.0,536.0,3724.0
29,,,198.0,3649.0,household_agent_4,1004.0,991.0,household_agent_0,122.0,455.0,3771.0
30,,,199.0,3649.0,generation_agent_3,1016.0,991.0,household_agent_0,125.0,536.0,3774.0
31,,,199.0,3649.0,generation_agent_3,1016.0,991.0,household_agent_0,166.0,455.0,3815.0
32,,,241.0,4149.0,household_agent_1,1001.0,991.0,household_agent_0,46.0,536.0,4195.0
33,,,241.0,4149.0,household_agent_1,1001.0,991.0,household_agent_0,85.0,455.0,4234.0
34,,,242.0,4149.0,household_agent_4,1004.0,991.0,household_agent_0,61.0,536.0,4210.0
35,,,242.0,4149.0,household_agent_4,1004.0,991.0,household_agent_0,102.0,455.0,4251.0
36,,,243.0,4149.0,generation_agent_3,1016.0,991.0,household_agent_0,89.0,536.0,4238.0
37,,,243.0,4149.0,generation_agent_3,1016.0,991.0,household_agent_0,136.0,455.0,4285.0
38,,,285.0,4902.0,household_agent_1,1001.0,991.0,household_agent_0,47.0,536.0,4949.0
39,,,285.0,4902.0,household_agent_1,1001.0,991.0,household_agent_0,86.0,455.0,4988.0
40,,,286.0,4902.0,household_agent_4,1004.0,991.0,household_agent_0,82.0,536.0,4984.0
41,,,286.0,4902.0,household_agent_4,1004.0,991.0,household_agent_0,117.0,455.0,5019.0
42,,,287.0,4902.0,generation_agent_3,1016.0,991.0,household_agent_0,86.0,536.0,4988.0
43,,,287.0,4902.0,generation_agent_3,1016.0,991.0,household_agent_0,133.0,455.0,5035.0
44,,,329.0,5444.0,household_agent_1,1001.0,991.0,household_agent_0,47.0,536.0,5491.0
