,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 15:28:18.855370,,,,,,,,,
1,Simulation configuration ID,aadfddfb-b2e5-4be5-b6b9-7bfce7200623,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,75.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,94.0
1,,,1.0,151.0,household_agent_2,1002.0,191.0,aggregator_agent,47.0,191.0,198.0
2,,,53.0,2599.0,control_center_agent,1017.0,191.0,aggregator_agent,28.0,191.0,2627.0
3,,,14.0,546.0,household_agent_7,1007.0,191.0,household_agent_12,48.0,191.0,594.0
4,,,30.0,1118.0,household_agent_7,1007.0,191.0,household_agent_12,47.0,191.0,1165.0
5,,,46.0,1560.0,household_agent_7,1007.0,191.0,household_agent_12,48.0,191.0,1608.0
6,,,46.0,1560.0,household_agent_7,1007.0,191.0,household_agent_12,85.0,191.0,465.0
7,,,10.0,546.0,household_agent_12,1012.0,191.0,household_agent_7,47.0,191.0,593.0
8,,,11.0,546.0,household_agent_5,1005.0,191.0,household_agent_7,63.0,191.0,609.0
9,,,26.0,1118.0,household_agent_12,1012.0,191.0,household_agent_7,47.0,191.0,1165.0
10,,,27.0,1118.0,household_agent_5,1005.0,191.0,household_agent_7,63.0,191.0,1181.0
