,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 14:54:36.431817,,,,,,,,,
1,Simulation configuration ID,ec3b6c0e-514d-43b7-beaa-182d8ac61333,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,92.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,111.0
1,,,1.0,157.0,household_agent_3,1003.0,191.0,aggregator_agent,58.0,191.0,215.0
2,,,69.0,173.0,control_center_agent,1017.0,191.0,aggregator_agent,26.0,191.0,199.0
3,,,14.0,208.0,household_agent_1,1001.0,191.0,household_agent_0,52.0,191.0,260.0
4,,,46.0,213.0,household_agent_1,1001.0,191.0,household_agent_0,82.0,191.0,295.0
5,,,10.0,208.0,household_agent_0,1000.0,191.0,household_agent_1,56.0,191.0,264.0
6,,,11.0,208.0,household_agent_2,1002.0,191.0,household_agent_1,72.0,191.0,280.0
7,,,42.0,213.0,household_agent_0,1000.0,191.0,household_agent_1,85.0,191.0,298.0
8,,,43.0,213.0,household_agent_2,1002.0,191.0,household_agent_1,102.0,191.0,315.0
9,,,6.0,208.0,household_agent_1,1001.0,191.0,household_agent_2,62.0,191.0,270.0
10,,,7.0,208.0,household_agent_3,1003.0,191.0,household_agent_2,53.0,191.0,261.0
11,,,38.0,213.0,household_agent_1,1001.0,191.0,household_agent_2,90.0,191.0,303.0
12,,,39.0,213.0,household_agent_3,1003.0,191.0,household_agent_2,79.0,191.0,292.0
13,,,2.0,113.0,household_agent_2,1002.0,191.0,household_agent_3,47.0,191.0,160.0
14,,,3.0,113.0,household_agent_4,1004.0,191.0,household_agent_3,58.0,191.0,171.0
15,,,4.0,208.0,household_agent_2,1002.0,191.0,household_agent_3,53.0,191.0,261.0
16,,,5.0,208.0,household_agent_4,1004.0,191.0,household_agent_3,69.0,191.0,277.0
17,,,36.0,213.0,household_agent_2,1002.0,191.0,household_agent_3,82.0,191.0,295.0
18,,,37.0,213.0,household_agent_4,1004.0,191.0,household_agent_3,98.0,191.0,311.0
19,,,68.0,144.0,aggregator_agent,1019.0,191.0,household_agent_3,67.0,191.0,211.0
20,,,8.0,208.0,household_agent_3,1003.0,191.0,household_agent_4,55.0,191.0,263.0
21,,,9.0,208.0,household_agent_5,1005.0,191.0,household_agent_4,66.0,191.0,274.0
22,,,40.0,213.0,household_agent_3,1003.0,191.0,household_agent_4,84.0,191.0,297.0
23,,,41.0,213.0,household_agent_5,1005.0,191.0,household_agent_4,95.0,191.0,308.0
24,,,12.0,208.0,household_agent_4,1004.0,191.0,household_agent_5,60.0,191.0,268.0
25,,,13.0,208.0,household_agent_6,1006.0,191.0,household_agent_5,71.0,191.0,279.0
26,,,44.0,213.0,household_agent_4,1004.0,191.0,household_agent_5,92.0,191.0,305.0
27,,,45.0,213.0,household_agent_6,1006.0,191.0,household_agent_5,105.0,191.0,318.0
28,,,15.0,208.0,household_agent_5,1005.0,191.0,household_agent_6,59.0,191.0,267.0
29,,,16.0,208.0,household_agent_7,1007.0,191.0,household_agent_6,70.0,191.0,278.0
30,,,47.0,213.0,household_agent_5,1005.0,191.0,household_agent_6,91.0,191.0,304.0
31,,,48.0,213.0,household_agent_7,1007.0,191.0,household_agent_6,103.0,191.0,316.0
32,,,17.0,208.0,household_agent_6,1006.0,191.0,household_agent_7,62.0,191.0,270.0
33,,,18.0,208.0,household_agent_8,1008.0,191.0,household_agent_7,73.0,191.0,281.0
34,,,49.0,213.0,household_agent_6,1006.0,191.0,household_agent_7,93.0,191.0,306.0
35,,,50.0,213.0,household_agent_8,1008.0,191.0,household_agent_7,104.0,191.0,317.0
36,,,19.0,208.0,household_agent_7,1007.0,191.0,household_agent_8,64.0,191.0,272.0
37,,,20.0,208.0,household_agent_9,1009.0,191.0,household_agent_8,74.0,191.0,282.0
38,,,51.0,213.0,household_agent_7,1007.0,191.0,household_agent_8,93.0,191.0,306.0
39,,,52.0,213.0,household_agent_9,1009.0,191.0,household_agent_8,105.0,191.0,318.0
40,,,21.0,208.0,household_agent_8,1008.0,191.0,household_agent_9,72.0,191.0,280.0
41,,,22.0,208.0,household_agent_10,1010.0,191.0,household_agent_9,77.0,191.0,285.0
42,,,53.0,213.0,household_agent_8,1008.0,191.0,household_agent_9,101.0,191.0,314.0
43,,,54.0,213.0,household_agent_10,1010.0,191.0,household_agent_9,112.0,191.0,325.0
44,,,23.0,208.0,household_agent_9,1009.0,191.0,household_agent_10,65.0,191.0,273.0
45,,,24.0,208.0,household_agent_11,1011.0,191.0,household_agent_10,78.0,191.0,286.0
46,,,55.0,213.0,household_agent_9,1009.0,191.0,household_agent_10,92.0,191.0,305.0
47,,,56.0,213.0,household_agent_11,1011.0,191.0,household_agent_10,107.0,191.0,320.0
48,,,25.0,208.0,household_agent_10,1010.0,191.0,household_agent_11,63.0,191.0,271.0
49,,,26.0,208.0,household_agent_12,1012.0,191.0,household_agent_11,75.0,191.0,283.0
50,,,57.0,213.0,household_agent_10,1010.0,191.0,household_agent_11,94.0,191.0,307.0
51,,,58.0,213.0,household_agent_12,1012.0,191.0,household_agent_11,106.0,191.0,319.0
52,,,27.0,208.0,household_agent_11,1011.0,191.0,household_agent_12,83.0,191.0,291.0
53,,,28.0,208.0,generation_agent_0,1013.0,191.0,household_agent_12,61.0,191.0,269.0
54,,,59.0,213.0,household_agent_11,1011.0,191.0,household_agent_12,114.0,191.0,327.0
55,,,60.0,213.0,generation_agent_0,1013.0,191.0,household_agent_12,89.0,191.0,302.0
56,,,29.0,208.0,household_agent_12,1012.0,191.0,generation_agent_0,71.0,191.0,279.0
57,,,30.0,208.0,generation_agent_1,1014.0,191.0,generation_agent_0,82.0,191.0,290.0
58,,,61.0,213.0,household_agent_12,1012.0,191.0,generation_agent_0,104.0,191.0,317.0
59,,,62.0,213.0,generation_agent_1,1014.0,191.0,generation_agent_0,116.0,191.0,329.0
