,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 16:26:34.826206,,,,,,,,,
1,Simulation configuration ID,29d00e51-9d70-4d91-a95a-1d973a73b0c2,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,0.0,4.0,grid_operator_agent,69.0,household_agent_9,0.0,28.0,69.0,32.0
1,,,1.0,4.0,grid_operator_agent,158.0,household_agent_46,0.0,28.0,158.0,32.0
2,,,2.0,4.0,grid_operator_agent,128.0,household_agent_29,0.0,28.0,128.0,32.0
3,,,3.0,4.0,grid_operator_agent,200.0,household_agent_37,0.0,28.0,200.0,32.0
4,,,4.0,4.0,grid_operator_agent,142.0,household_agent_40,0.0,28.0,142.0,32.0
5,,,5.0,4.0,grid_operator_agent,50.0,household_agent_11,0.0,22.0,50.0,26.0
6,,,6.0,4.0,grid_operator_agent,103.0,household_agent_6,0.0,28.0,103.0,32.0
7,,,7.0,4.0,grid_operator_agent,150.0,household_agent_42,0.0,28.0,150.0,32.0
8,,,8.0,4.0,grid_operator_agent,82.0,household_agent_39,0.0,28.0,82.0,32.0
9,,,9.0,4.0,grid_operator_agent,187.0,household_agent_17,0.0,28.0,187.0,32.0
10,,,10.0,4.0,grid_operator_agent,122.0,household_agent_43,0.0,28.0,122.0,32.0
11,,,11.0,4.0,grid_operator_agent,160.0,household_agent_4,0.0,28.0,160.0,32.0
12,,,12.0,4.0,grid_operator_agent,149.0,household_agent_0,0.0,28.0,149.0,32.0
13,,,13.0,4.0,grid_operator_agent,108.0,household_agent_38,0.0,28.0,108.0,32.0
14,,,14.0,4.0,grid_operator_agent,107.0,household_agent_31,0.0,28.0,107.0,32.0
15,,,106200.0,99.0,household_agent_11,50.0,grid_operator_agent,26.0,19.0,50.0,118.0
16,,,106201.0,68.0,household_agent_0,149.0,grid_operator_agent,32.0,19.0,149.0,87.0
17,,,106202.0,66.0,household_agent_4,160.0,grid_operator_agent,32.0,19.0,160.0,85.0
18,,,106203.0,98.0,household_agent_6,103.0,grid_operator_agent,32.0,19.0,103.0,117.0
19,,,106204.0,110.0,household_agent_9,69.0,grid_operator_agent,32.0,19.0,69.0,129.0
20,,,106205.0,106.0,household_agent_17,187.0,grid_operator_agent,32.0,19.0,187.0,125.0
21,,,106206.0,70.0,household_agent_29,128.0,grid_operator_agent,32.0,19.0,128.0,89.0
22,,,106207.0,100.0,household_agent_31,107.0,grid_operator_agent,32.0,19.0,107.0,119.0
23,,,106208.0,102.0,household_agent_37,200.0,grid_operator_agent,32.0,19.0,200.0,121.0
24,,,106209.0,127.0,household_agent_38,108.0,grid_operator_agent,32.0,19.0,108.0,146.0
25,,,106210.0,104.0,household_agent_39,82.0,grid_operator_agent,32.0,19.0,82.0,123.0
26,,,106211.0,113.0,household_agent_40,142.0,grid_operator_agent,32.0,19.0,142.0,132.0
27,,,106212.0,85.0,household_agent_42,150.0,grid_operator_agent,32.0,19.0,150.0,104.0
28,,,106213.0,64.0,household_agent_43,122.0,grid_operator_agent,32.0,19.0,122.0,83.0
29,,,106214.0,81.0,household_agent_46,158.0,grid_operator_agent,32.0,19.0,158.0,100.0
