,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-19 20:11:35.310043,,,,,,,,,
1,Simulation configuration ID,de5e4910-0484-41eb-83e4-674d2d8b8797,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,OutageRestorationManagement,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,Fixed data size generator with data size = 25 B,,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,300000,,,,,,,,,
9,Communication mode,UNICAST,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
0,,,0.0,11562.0,household_agent_30,25.0,control_center_agent,0.0,25.0,25.0,11587.0
1,,,1.0,16788.0,household_agent_11,25.0,control_center_agent,0.0,25.0,25.0,16813.0
2,,,2.0,23608.0,household_agent_63,25.0,control_center_agent,0.0,37.0,25.0,23645.0
3,,,3.0,62012.0,household_agent_93,25.0,control_center_agent,0.0,25.0,25.0,62037.0
4,,,5.0,134070.0,household_agent_31,25.0,control_center_agent,0.0,37.0,25.0,134107.0
5,,,7.0,177658.0,household_agent_99,25.0,control_center_agent,0.0,25.0,25.0,177683.0
6,,,8.0,181749.0,household_agent_44,25.0,control_center_agent,0.0,37.0,25.0,181786.0
7,,,10.0,224786.0,household_agent_95,25.0,control_center_agent,0.0,25.0,25.0,224811.0
8,,,11.0,272631.0,household_agent_81,25.0,control_center_agent,0.0,19.0,25.0,272650.0
9,,,102900.0,16942.0,control_center_agent,25.0,household_agent_11,16813.0,34.0,25.0,16976.0
10,,,104800.0,11872.0,control_center_agent,25.0,household_agent_30,11587.0,34.0,25.0,11906.0
11,,,104900.0,134425.0,control_center_agent,25.0,household_agent_31,134107.0,64.0,25.0,134489.0
12,,,109900.0,272738.0,control_center_agent,25.0,household_agent_81,272650.0,22.0,25.0,272760.0
13,,,111100.0,62832.0,control_center_agent,25.0,household_agent_93,62037.0,34.0,25.0,62866.0
14,,,111700.0,177890.0,control_center_agent,25.0,household_agent_99,177683.0,34.0,25.0,177924.0
