,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-30 12:09:19.109461,,,,,,,,,
1,Simulation configuration ID,6435e7ce-881e-4628-83df-4e1a3eddeb8d,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,0.0,50.0,control_center_agent,991.0,generation_agent_0,0.0,30.0,536.0,80.0
1,,,0.0,50.0,control_center_agent,991.0,generation_agent_0,0.0,51.0,455.0,101.0
2,,,106000.0,95.0,generation_agent_0,991.0,control_center_agent,80.0,20.0,536.0,115.0
3,,,106000.0,95.0,generation_agent_0,991.0,control_center_agent,80.0,34.0,455.0,129.0
4,,,106001.0,116.0,generation_agent_0,991.0,control_center_agent,101.0,20.0,536.0,136.0
5,,,106001.0,116.0,generation_agent_0,991.0,control_center_agent,101.0,34.0,455.0,150.0
