,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-29 22:02:21.440584,,,,,,,,,
1,Simulation configuration ID,43209536-b7be-4362-aa4f-172026691d26,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,83.0,household_agent_23,1047.0,41.0,control_center_agent,19.0,41.0,102.0
1,,,520.0,901.0,household_agent_10,1034.0,41.0,storage_agent_93,360.0,41.0,1261.0
2,,,521.0,901.0,household_agent_23,1047.0,41.0,storage_agent_93,3895.0,41.0,4796.0
3,,,524.0,901.0,generation_agent_1,1125.0,41.0,storage_agent_93,302.0,41.0,1203.0
4,,,525.0,901.0,generation_agent_2,1126.0,41.0,storage_agent_93,377.0,41.0,1278.0
5,,,527.0,901.0,generation_agent_92,1216.0,41.0,storage_agent_93,384.0,41.0,1285.0
6,,,528.0,901.0,generation_agent_95,1219.0,41.0,storage_agent_93,316.0,41.0,1217.0
7,,,531.0,901.0,storage_agent_28,1252.0,41.0,storage_agent_93,156.0,41.0,1057.0
8,,,532.0,901.0,storage_agent_29,1253.0,41.0,storage_agent_93,178.0,41.0,1079.0
9,,,436.0,901.0,household_agent_10,1034.0,41.0,generation_agent_95,210.0,41.0,1111.0
10,,,437.0,901.0,household_agent_23,1047.0,41.0,generation_agent_95,1805.0,41.0,2706.0
11,,,440.0,901.0,generation_agent_1,1125.0,41.0,generation_agent_95,188.0,41.0,1089.0
12,,,441.0,901.0,generation_agent_2,1126.0,41.0,generation_agent_95,254.0,41.0,1155.0
13,,,443.0,901.0,generation_agent_92,1216.0,41.0,generation_agent_95,145.0,41.0,1046.0
14,,,446.0,901.0,storage_agent_28,1252.0,41.0,generation_agent_95,155.0,41.0,1056.0
15,,,447.0,901.0,storage_agent_29,1253.0,41.0,generation_agent_95,221.0,41.0,1122.0
16,,,449.0,901.0,storage_agent_93,1317.0,41.0,generation_agent_95,328.0,41.0,1229.0
17,,,492.0,901.0,household_agent_10,1034.0,41.0,storage_agent_29,290.0,41.0,1191.0
18,,,493.0,901.0,household_agent_23,1047.0,41.0,storage_agent_29,2749.0,41.0,3650.0
19,,,496.0,901.0,generation_agent_1,1125.0,41.0,storage_agent_29,258.0,41.0,1159.0
20,,,497.0,901.0,generation_agent_2,1126.0,41.0,storage_agent_29,328.0,41.0,1229.0
21,,,499.0,901.0,generation_agent_92,1216.0,41.0,storage_agent_29,296.0,41.0,1197.0
22,,,500.0,901.0,generation_agent_95,1219.0,41.0,storage_agent_29,239.0,41.0,1140.0
23,,,503.0,901.0,storage_agent_28,1252.0,41.0,storage_agent_29,80.0,41.0,981.0
24,,,505.0,901.0,storage_agent_93,1317.0,41.0,storage_agent_29,153.0,41.0,1054.0
25,,,380.0,901.0,household_agent_10,1034.0,41.0,generation_agent_1,117.0,41.0,1018.0
26,,,381.0,901.0,household_agent_23,1047.0,41.0,generation_agent_1,655.0,41.0,1556.0
27,,,384.0,901.0,generation_agent_2,1126.0,41.0,generation_agent_1,128.0,41.0,1029.0
28,,,386.0,901.0,generation_agent_92,1216.0,41.0,generation_agent_1,150.0,41.0,1051.0
29,,,387.0,901.0,generation_agent_95,1219.0,41.0,generation_agent_1,176.0,41.0,1077.0
30,,,390.0,901.0,storage_agent_28,1252.0,41.0,generation_agent_1,227.0,41.0,1128.0
31,,,391.0,901.0,storage_agent_29,1253.0,41.0,generation_agent_1,249.0,41.0,1150.0
32,,,393.0,901.0,storage_agent_93,1317.0,41.0,generation_agent_1,310.0,41.0,1211.0
33,,,422.0,901.0,household_agent_10,1034.0,41.0,generation_agent_92,192.0,41.0,1093.0
34,,,423.0,901.0,household_agent_23,1047.0,41.0,generation_agent_92,1722.0,41.0,2623.0
35,,,426.0,901.0,generation_agent_1,1125.0,41.0,generation_agent_92,108.0,41.0,1009.0
36,,,427.0,901.0,generation_agent_2,1126.0,41.0,generation_agent_92,204.0,41.0,1105.0
37,,,429.0,901.0,generation_agent_95,1219.0,41.0,generation_agent_92,155.0,41.0,1056.0
38,,,432.0,901.0,storage_agent_28,1252.0,41.0,generation_agent_92,254.0,41.0,1155.0
39,,,433.0,901.0,storage_agent_29,1253.0,41.0,generation_agent_92,303.0,41.0,1204.0
40,,,435.0,901.0,storage_agent_93,1317.0,41.0,generation_agent_92,404.0,41.0,1305.0
41,,,338.0,901.0,household_agent_23,1047.0,41.0,household_agent_10,65.0,41.0,966.0
42,,,341.0,901.0,generation_agent_1,1125.0,41.0,household_agent_10,137.0,41.0,1038.0
43,,,342.0,901.0,generation_agent_2,1126.0,41.0,household_agent_10,150.0,41.0,1051.0
44,,,344.0,901.0,generation_agent_92,1216.0,41.0,household_agent_10,211.0,41.0,1112.0
45,,,345.0,901.0,generation_agent_95,1219.0,41.0,household_agent_10,227.0,41.0,1128.0
46,,,348.0,901.0,storage_agent_28,1252.0,41.0,household_agent_10,295.0,41.0,1196.0
47,,,349.0,901.0,storage_agent_29,1253.0,41.0,household_agent_10,309.0,41.0,1210.0
48,,,351.0,901.0,storage_agent_93,1317.0,41.0,household_agent_10,375.0,41.0,1276.0
49,,,394.0,901.0,household_agent_10,1034.0,41.0,generation_agent_2,135.0,41.0,1036.0
50,,,395.0,901.0,household_agent_23,1047.0,41.0,generation_agent_2,676.0,41.0,1577.0
51,,,398.0,901.0,generation_agent_1,1125.0,41.0,generation_agent_2,119.0,41.0,1020.0
52,,,400.0,901.0,generation_agent_92,1216.0,41.0,generation_agent_2,206.0,41.0,1107.0
53,,,401.0,901.0,generation_agent_95,1219.0,41.0,generation_agent_2,270.0,41.0,1171.0
