,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 18:09:56.345481,,,,,,,,,
1,Simulation configuration ID,37767c40-14c8-42e0-a88a-e9fc352a8364,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,25.0,aggregator_agent,36.0,market_agent,0.0,25.0,36.0,50.0
1,,,1.0,29.0,aggregator_agent,43.0,grid_operator_agent,0.0,26.0,43.0,55.0
2,,,2.0,52.0,aggregator_agent,27.0,household_agent_27,0.0,87.0,27.0,139.0
3,,,3.0,121.0,aggregator_agent,19.0,household_agent_32,0.0,194.0,19.0,315.0
4,,,4.0,42.0,aggregator_agent,39.0,household_agent_21,0.0,70.0,39.0,112.0
5,,,5.0,42.0,aggregator_agent,20.0,household_agent_90,0.0,59.0,20.0,101.0
6,,,6.0,125.0,aggregator_agent,48.0,household_agent_72,0.0,185.0,48.0,310.0
7,,,7.0,90.0,aggregator_agent,20.0,household_agent_19,0.0,198.0,20.0,288.0
8,,,9.0,110.0,aggregator_agent,40.0,household_agent_36,0.0,4057.0,40.0,4167.0
9,,,10.0,104.0,aggregator_agent,14.0,household_agent_51,0.0,189.0,14.0,293.0
10,,,12.0,55.0,aggregator_agent,37.0,household_agent_71,0.0,107.0,37.0,162.0
11,,,13.0,46.0,aggregator_agent,8.0,household_agent_73,0.0,71.0,8.0,117.0
12,,,14.0,109.0,aggregator_agent,37.0,household_agent_57,0.0,4063.0,37.0,4172.0
13,,,15.0,41.0,aggregator_agent,40.0,household_agent_95,0.0,100.0,40.0,141.0
14,,,16.0,51.0,aggregator_agent,34.0,household_agent_61,0.0,77.0,34.0,128.0
15,,,132400.0,145.0,household_agent_90,20.0,aggregator_agent,101.0,57.0,20.0,202.0
16,,,132401.0,177.0,household_agent_21,39.0,aggregator_agent,112.0,47.0,39.0,224.0
17,,,132402.0,199.0,household_agent_73,8.0,aggregator_agent,117.0,52.0,8.0,251.0
18,,,132403.0,153.0,household_agent_61,34.0,aggregator_agent,128.0,82.0,34.0,235.0
19,,,132404.0,171.0,household_agent_27,27.0,aggregator_agent,139.0,86.0,27.0,257.0
20,,,132405.0,158.0,household_agent_95,40.0,aggregator_agent,141.0,60.0,40.0,218.0
21,,,132406.0,237.0,household_agent_71,37.0,aggregator_agent,162.0,75.0,37.0,312.0
22,,,132407.0,326.0,household_agent_19,20.0,aggregator_agent,288.0,58.0,20.0,384.0
23,,,132408.0,302.0,household_agent_51,14.0,aggregator_agent,293.0,54.0,14.0,356.0
24,,,132409.0,387.0,household_agent_72,48.0,aggregator_agent,310.0,59.0,48.0,446.0
25,,,132410.0,365.0,household_agent_32,19.0,aggregator_agent,315.0,92.0,19.0,457.0
26,,,132411.0,4236.0,household_agent_36,40.0,aggregator_agent,4167.0,65.0,40.0,4301.0
27,,,132412.0,4210.0,household_agent_57,37.0,aggregator_agent,4172.0,65.0,37.0,4275.0
