,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-29 18:17:15.576975,,,,,,,,,
1,Simulation configuration ID,aeb56ead-99c7-48ad-8e3a-6cd487bcf28c,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,87.0,storage_agent_35,1253.0,41.0,control_center_agent,27.0,41.0,114.0
1,,,2.0,93.0,storage_agent_36,1254.0,41.0,storage_agent_35,96.0,41.0,189.0
2,,,3.0,93.0,generation_agent_77,1195.0,41.0,storage_agent_35,110.0,41.0,203.0
3,,,4.0,578.0,control_center_agent,1319.0,41.0,storage_agent_35,38.0,41.0,616.0
