,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-08-02 21:58:47.343575,,,,,,,,,
1,Simulation configuration ID,7b718495-c6b6-437b-9bc4-a142ee21576e,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 15 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,13.0,aggregator_agent,107.0,market_agent,0.0,19.0,107.0,32.0
1,,,20.0,900183.0,aggregator_agent,109.0,market_agent,0.0,19.0,109.0,900202.0
2,,,40.0,1800367.0,aggregator_agent,111.0,market_agent,0.0,19.0,111.0,1800386.0
3,,,60.0,2700522.0,aggregator_agent,144.0,market_agent,0.0,19.0,144.0,2700541.0
4,,,1.0,74.0,household_agent_2,137.0,aggregator_agent,0.0,47.0,137.0,121.0
5,,,2.0,74.0,household_agent_7,194.0,aggregator_agent,0.0,58.0,194.0,132.0
6,,,3.0,74.0,household_agent_3,144.0,aggregator_agent,0.0,69.0,144.0,143.0
7,,,4.0,74.0,household_agent_8,107.0,aggregator_agent,0.0,74.0,107.0,148.0
8,,,5.0,74.0,household_agent_9,175.0,aggregator_agent,0.0,80.0,175.0,154.0
9,,,6.0,74.0,generation_agent_0,169.0,aggregator_agent,0.0,140.0,169.0,214.0
10,,,7.0,74.0,generation_agent_1,117.0,aggregator_agent,0.0,146.0,117.0,220.0
11,,,8.0,74.0,generation_agent_2,112.0,aggregator_agent,0.0,151.0,112.0,225.0
12,,,9.0,74.0,generation_agent_3,174.0,aggregator_agent,0.0,157.0,174.0,231.0
13,,,10.0,119.0,household_agent_2,100.0,aggregator_agent,0.0,46.0,100.0,165.0
14,,,11.0,119.0,household_agent_7,169.0,aggregator_agent,0.0,57.0,169.0,176.0
15,,,12.0,119.0,household_agent_3,85.0,aggregator_agent,0.0,62.0,85.0,181.0
16,,,13.0,119.0,household_agent_8,171.0,aggregator_agent,0.0,68.0,171.0,187.0
17,,,14.0,119.0,household_agent_9,162.0,aggregator_agent,0.0,79.0,162.0,198.0
18,,,15.0,119.0,generation_agent_0,167.0,aggregator_agent,0.0,129.0,167.0,248.0
19,,,16.0,119.0,generation_agent_1,86.0,aggregator_agent,0.0,134.0,86.0,253.0
20,,,17.0,119.0,generation_agent_2,200.0,aggregator_agent,0.0,140.0,200.0,259.0
21,,,18.0,119.0,generation_agent_3,192.0,aggregator_agent,0.0,151.0,192.0,270.0
22,,,19.0,183.0,market_agent,84.0,aggregator_agent,0.0,21.0,84.0,204.0
23,,,21.0,900300.0,household_agent_2,117.0,aggregator_agent,0.0,47.0,117.0,900347.0
24,,,22.0,900300.0,household_agent_7,140.0,aggregator_agent,0.0,58.0,140.0,900358.0
25,,,23.0,900300.0,household_agent_3,78.0,aggregator_agent,0.0,63.0,78.0,900363.0
26,,,24.0,900300.0,household_agent_8,50.0,aggregator_agent,0.0,113.0,50.0,900413.0
27,,,25.0,900300.0,household_agent_9,191.0,aggregator_agent,0.0,152.0,191.0,900452.0
28,,,26.0,900300.0,generation_agent_0,101.0,aggregator_agent,0.0,158.0,101.0,900458.0
29,,,27.0,900300.0,generation_agent_1,126.0,aggregator_agent,0.0,163.0,126.0,900463.0
