,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-29 03:25:16.414388,,,,,,,,,
1,Simulation configuration ID,b52373da-f926-429d-8cba-93f681734cbe,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 15 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,41.0,household_agent_11,49.0,household_agent_8,0.0,47.0,49.0,88.0
1,,,1.0,41.0,household_agent_12,11.0,household_agent_8,0.0,52.0,11.0,93.0
2,,,2.0,41.0,generation_agent_2,35.0,household_agent_8,0.0,58.0,35.0,99.0
3,,,101100.0,102.0,household_agent_8,49.0,household_agent_11,88.0,47.0,49.0,149.0
4,,,101200.0,115.0,household_agent_8,11.0,household_agent_12,93.0,47.0,11.0,162.0
5,,,101500.0,181.0,household_agent_8,35.0,generation_agent_2,99.0,47.0,35.0,228.0
