,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-31 11:28:55.842849,,,,,,,,,
1,Simulation configuration ID,7f518264-693b-46b6-b62e-e6629c0f3ac6,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 15 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,93.0,generation_agent_0,221.0,generation_agent_1,0.0,47.0,330.0,53.0
1,,,0.0,93.0,generation_agent_0,221.0,generation_agent_1,0.0,47.0,221.0,140.0
2,,,1.0,93.0,generation_agent_2,333.0,generation_agent_1,0.0,58.0,333.0,151.0
3,,,2.0,93.0,household_agent_0,574.0,generation_agent_1,0.0,69.0,536.0,162.0
4,,,2.0,93.0,household_agent_0,574.0,generation_agent_1,0.0,97.0,38.0,190.0
5,,,100001.0,685.0,generation_agent_1,574.0,household_agent_0,162.0,47.0,536.0,732.0
6,,,100001.0,685.0,generation_agent_1,574.0,household_agent_0,162.0,75.0,38.0,760.0
7,,,100002.0,713.0,generation_agent_1,574.0,household_agent_0,190.0,53.0,536.0,766.0
8,,,100002.0,713.0,generation_agent_1,574.0,household_agent_0,190.0,81.0,38.0,794.0
9,,,101300.0,629.0,generation_agent_1,221.0,generation_agent_0,140.0,48.0,221.0,677.0
10,,,101500.0,635.0,generation_agent_1,333.0,generation_agent_2,151.0,47.0,333.0,682.0
