,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-31 22:27:52.272061,,,,,,,,,
1,Simulation configuration ID,252be3d0-c9e7-448b-91ab-81126be2226e,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 15 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,39.0,household_agent_0,857.0,household_agent_2,0.0,49.0,536.0,88.0
1,,,0.0,39.0,household_agent_0,857.0,household_agent_2,0.0,83.0,321.0,122.0
2,,,1.0,39.0,household_agent_6,870.0,household_agent_2,0.0,60.0,536.0,99.0
3,,,1.0,39.0,household_agent_6,870.0,household_agent_2,0.0,94.0,334.0,133.0
4,,,100000.0,21891.0,household_agent_2,857.0,household_agent_0,88.0,49.0,536.0,21940.0
5,,,100000.0,21891.0,household_agent_2,857.0,household_agent_0,88.0,83.0,321.0,21974.0
6,,,100001.0,21925.0,household_agent_2,857.0,household_agent_0,122.0,61.0,536.0,21986.0
7,,,100001.0,21925.0,household_agent_2,857.0,household_agent_0,122.0,95.0,321.0,22020.0
8,,,100600.0,6379.0,household_agent_2,870.0,household_agent_6,99.0,49.0,536.0,6428.0
9,,,100600.0,6379.0,household_agent_2,870.0,household_agent_6,99.0,83.0,334.0,6462.0
10,,,100601.0,6413.0,household_agent_2,870.0,household_agent_6,133.0,61.0,536.0,6474.0
11,,,100601.0,6413.0,household_agent_2,870.0,household_agent_6,133.0,95.0,334.0,6508.0
