,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 13:23:51.950532,,,,,,,,,
1,Simulation configuration ID,94925fd9-10ed-4aea-a5bb-37192b1e4aee,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 22 agents,,,,,,,,,
4,Agent communication pattern,FaultLocationIsolation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,Fixed data size generator with data size = 50 B,,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,300000,,,,,,,,,
9,Communication mode,BROADCAST,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
0,,,0.0,52.0,household_agent_2,50.0,control_center_agent,0.0,0.0,50.0,52.0
1,,,1.0,52.0,household_agent_5,50.0,control_center_agent,0.0,0.0,50.0,52.0
2,,,2.0,52.0,household_agent_4,50.0,control_center_agent,0.0,1.0,50.0,53.0
3,,,3.0,52.0,household_agent_1,50.0,control_center_agent,0.0,1.0,50.0,53.0
4,,,4.0,52.0,household_agent_9,50.0,control_center_agent,0.0,1.0,50.0,53.0
5,,,5.0,52.0,household_agent_11,50.0,control_center_agent,0.0,1.0,50.0,53.0
6,,,6.0,52.0,household_agent_0,50.0,control_center_agent,0.0,1.0,50.0,53.0
7,,,7.0,52.0,household_agent_10,50.0,control_center_agent,0.0,1.0,50.0,53.0
8,,,8.0,52.0,household_agent_6,50.0,control_center_agent,0.0,1.0,50.0,53.0
9,,,9.0,52.0,household_agent_3,50.0,control_center_agent,0.0,1.0,50.0,53.0
10,,,10.0,52.0,generation_agent_0,50.0,control_center_agent,0.0,1.0,50.0,53.0
11,,,11.0,52.0,generation_agent_1,50.0,control_center_agent,0.0,2.0,50.0,54.0
12,,,12.0,52.0,generation_agent_2,50.0,control_center_agent,0.0,2.0,50.0,54.0
13,,,13.0,52.0,generation_agent_3,50.0,control_center_agent,0.0,2.0,50.0,54.0
14,,,100200.0,5569.0,control_center_agent,50.0,household_agent_2,52.0,0.0,50.0,5569.0
15,,,100500.0,18262.0,control_center_agent,50.0,household_agent_5,52.0,0.0,50.0,18262.0
16,,,100400.0,21180.0,control_center_agent,50.0,household_agent_4,53.0,0.0,50.0,21180.0
17,,,100100.0,29873.0,control_center_agent,50.0,household_agent_1,53.0,0.0,50.0,29873.0
18,,,100900.0,2384.0,control_center_agent,50.0,household_agent_9,53.0,0.0,50.0,2384.0
19,,,101100.0,7495.0,control_center_agent,50.0,household_agent_11,53.0,0.0,50.0,7495.0
20,,,100000.0,23791.0,control_center_agent,50.0,household_agent_0,53.0,0.0,50.0,23791.0
21,,,101000.0,6756.0,control_center_agent,50.0,household_agent_10,53.0,0.0,50.0,6756.0
22,,,100600.0,28756.0,control_center_agent,50.0,household_agent_6,53.0,0.0,50.0,28756.0
23,,,100300.0,26817.0,control_center_agent,50.0,household_agent_3,53.0,0.0,50.0,26817.0
24,,,101300.0,3033.0,control_center_agent,50.0,generation_agent_0,53.0,0.0,50.0,3033.0
25,,,101400.0,23571.0,control_center_agent,50.0,generation_agent_1,54.0,0.0,50.0,23571.0
26,,,101500.0,17742.0,control_center_agent,50.0,generation_agent_2,54.0,0.0,50.0,17742.0
27,,,101600.0,24379.0,control_center_agent,50.0,generation_agent_3,54.0,0.0,50.0,24379.0
